symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
CZR,2025-05-01,27.2,2.42,2025-05-02,27.74,27.31,27.8,2.21,24.48,False,23.12,False,21.76,False,20.21,False,19.15,False,18.14,False
CZR,2025-05-01,27.2,2.42,2025-05-05,27.55,27.27,27.62,1.54,24.48,False,23.12,False,21.76,False,19.71,False,18.67,False,17.69,False
CZR,2025-05-01,27.2,2.42,2025-05-06,27.2,26.72,26.85,-1.29,24.48,False,23.12,False,21.76,False,20.19,False,19.13,False,18.12,False
CZR,2025-05-01,27.2,2.42,2025-05-07,26.95,26.72,27.09,-0.4,24.48,False,23.12,False,21.76,False,19.99,False,18.94,False,17.94,False
CZR,2025-05-01,27.2,2.42,2025-05-08,27.53,26.75,27.83,2.32,24.48,False,23.12,False,21.76,False,23.44,False,22.21,False,21.04,False
CZR,2025-05-01,27.2,2.42,2025-05-09,27.85,27.51,28.03,3.05,24.48,False,23.12,False,21.76,False,21.64,False,20.5,False,19.42,False
CZR,2025-05-01,27.2,2.42,2025-05-12,29.98,29.6,30.08,10.59,24.48,False,23.12,False,21.76,False,21.54,False,20.4,False,19.33,False
CZR,2025-05-01,27.2,2.42,2025-05-13,30.03,29.7,30.52,12.21,24.48,False,23.12,False,21.76,False,21.49,False,20.36,False,19.29,False
CZR,2025-05-01,27.2,2.42,2025-05-14,30.38,30.17,30.69,12.83,24.48,False,23.12,False,21.76,False,21.32,False,20.19,False,19.13,False
CZR,2025-05-01,27.2,2.42,2025-05-15,30.39,29.77,30.31,11.43,24.48,False,23.12,False,21.76,False,21.04,False,19.94,False,18.89,False
CZR,2025-05-01,27.2,2.42,2025-05-16,30.43,30.21,30.7,12.87,24.48,False,23.12,False,21.76,False,21.69,False,20.55,False,19.47,False
CZR,2025-05-01,27.2,2.42,2025-05-19,30.07,29.43,29.57,8.71,24.48,False,23.12,False,21.76,False,21.26,False,20.14,False,19.08,False
CZR,2025-05-01,27.2,2.42,2025-05-20,29.42,29.03,29.41,8.13,24.48,False,23.12,False,21.76,False,22.74,False,21.55,False,20.41,False
CZR,2025-05-01,27.2,2.42,2025-05-21,29.03,27.91,27.96,2.79,24.48,False,23.12,False,21.76,False,22.72,False,21.52,False,20.39,False
CZR,2025-05-01,27.2,2.42,2025-05-22,27.81,26.98,27.87,2.46,24.48,False,23.12,False,21.76,False,23.1,False,21.89,False,20.73,False
CZR,2025-05-01,27.2,2.42,2025-05-23,27.1,27.06,27.69,1.8,24.48,False,23.12,False,21.76,False,24.18,False,22.91,False,21.7,False
CZR,2025-05-01,27.2,2.42,2025-05-27,28.38,27.77,28.25,3.86,24.48,False,23.12,False,21.76,False,23.86,False,22.6,False,21.41,False
CZR,2025-05-01,27.2,2.42,2025-05-28,28.13,27.45,27.49,1.07,24.48,False,23.12,False,21.76,False,23.8,False,22.55,False,21.36,False
CZR,2025-05-01,27.2,2.42,2025-05-29,27.82,26.95,27.27,0.26,24.48,False,23.12,False,21.76,False,23.01,False,21.8,False,20.65,False
CZR,2025-05-01,27.2,2.42,2025-05-30,26.95,26.69,26.88,-1.18,24.48,False,23.12,False,21.76,False,23.13,False,21.91,False,20.76,False
CZR,2025-05-01,27.2,2.42,2025-06-02,26.7,25.56,26.1,-4.04,24.48,False,23.12,False,21.76,False,23.64,False,22.39,False,21.21,False
CZR,2025-05-01,27.2,2.42,2025-06-03,26.02,25.7,26.47,-2.68,24.48,False,23.12,False,21.76,False,23.48,False,22.25,False,21.08,False
CZR,2025-05-01,27.2,2.42,2025-06-04,26.31,25.73,25.9,-4.78,24.48,False,23.12,False,21.76,False,22.83,False,21.63,False,20.49,False
CZR,2025-05-01,27.2,2.42,2025-06-05,25.9,25.55,25.63,-5.77,24.48,False,23.12,False,21.76,False,23.03,False,21.82,False,20.67,False
CZR,2025-05-01,27.2,2.42,2025-06-06,26.08,25.65,25.73,-5.4,24.48,False,23.12,False,21.76,False,23.66,False,22.42,False,21.24,False
CZR,2025-05-01,27.2,2.42,2025-06-09,26.09,26.05,26.74,-1.69,24.48,False,23.12,False,21.76,False,23.83,False,22.58,False,21.39,False
CZR,2025-05-01,27.2,2.42,2025-06-10,26.98,26.88,28.27,3.93,24.48,False,23.12,False,21.76,False,25.58,False,24.23,False,22.95,False
CZR,2025-05-01,27.2,2.42,2025-06-11,28.53,27.47,27.9,2.57,24.48,False,23.12,False,21.76,False,25.95,False,24.58,False,23.29,False
CZR,2025-05-01,27.2,2.42,2025-06-12,27.52,27.06,27.31,0.4,24.48,False,23.12,False,21.76,False,26.09,False,24.72,False,23.42,False
CZR,2025-05-01,27.2,2.42,2025-06-13,26.85,25.39,25.56,-6.03,24.48,False,23.12,False,21.76,False,25.77,True,24.42,False,23.13,False
CZR,2025-05-01,27.2,2.42,2025-06-16,25.98,25.86,26.25,-3.49,24.48,False,23.12,False,21.76,False,26.1,True,24.73,False,23.43,False
CZR,2025-05-01,27.2,2.42,2025-06-17,25.98,25.92,26.45,-2.76,24.48,False,23.12,False,21.76,False,25.14,False,23.82,False,22.57,False
CZR,2025-05-01,27.2,2.42,2025-06-18,26.33,26.25,27.75,2.02,24.48,False,23.12,False,21.76,False,25.01,False,23.69,False,22.44,False
CZR,2025-05-01,27.2,2.42,2025-06-20,28.3,27.79,28.15,3.49,24.48,False,23.12,False,21.76,False,23.77,False,22.52,False,21.34,False
CZR,2025-05-01,27.2,2.42,2025-06-23,28.21,27.57,28.5,4.78,24.48,False,23.12,False,21.76,False,23.7,False,22.45,False,21.27,False
CZR,2025-05-01,27.2,2.42,2025-06-24,28.95,28.95,29.61,8.86,24.48,False,23.12,False,21.76,False,23.54,False,22.3,False,21.13,False
CZR,2025-05-01,27.2,2.42,2025-06-25,29.64,28.36,28.6,5.15,24.48,False,23.12,False,21.76,False,24.02,False,22.76,False,21.56,False
CZR,2025-05-01,27.2,2.42,2025-06-26,28.6,28.4,28.51,4.82,24.48,False,23.12,False,21.76,False,23.37,False,22.14,False,20.98,False
CZR,2025-05-01,27.2,2.42,2025-06-27,28.66,28.09,28.86,6.1,24.48,False,23.12,False,21.76,False,23.19,False,21.97,False,20.81,False
CZR,2025-05-01,27.2,2.42,2025-06-30,28.78,28.14,28.39,4.37,24.48,False,23.12,False,21.76,False,22.86,False,21.65,False,20.51,False
CZR,2025-05-01,27.2,2.42,2025-07-01,28.38,28.37,29.61,8.86,24.48,False,23.12,False,21.76,False,22.19,False,21.02,False,19.92,False
CZR,2025-05-01,27.2,2.42,2025-07-02,29.68,29.26,29.64,8.97,24.48,False,23.12,False,21.76,False,22.51,False,21.32,False,20.2,False
CZR,2025-05-01,27.2,2.42,2025-07-03,30.0,29.58,29.71,9.23,24.48,False,23.12,False,21.76,False,22.02,False,20.86,False,19.76,False
CZR,2025-05-01,27.2,2.42,2025-07-07,29.45,29.09,29.42,8.16,24.48,False,23.12,False,21.76,False,21.79,False,20.65,False,19.56,False
CZR,2025-05-01,27.2,2.42,2025-07-08,29.57,29.01,29.97,10.18,24.48,False,23.12,False,21.76,False,21.88,False,20.73,False,19.64,False
CZR,2025-05-01,27.2,2.42,2025-07-09,30.1,29.44,29.59,8.79,24.48,False,23.12,False,21.76,False,22.74,False,21.54,False,20.41,False
CZR,2025-05-01,27.2,2.42,2025-07-10,29.64,29.53,31.51,15.85,24.48,False,23.12,False,21.76,False,24.04,False,22.77,False,21.57,False
CZR,2025-05-01,27.2,2.42,2025-07-11,31.01,29.9,30.03,10.4,24.48,False,23.12,False,21.76,False,23.72,False,22.47,False,21.29,False
CZR,2025-05-01,27.2,2.42,2025-07-14,29.93,29.64,30.84,13.38,24.48,False,23.12,False,21.76,False,23.22,False,22.0,False,20.84,False
CZR,2025-05-01,27.2,2.42,2025-07-15,31.02,29.78,29.83,9.67,24.48,False,23.12,False,21.76,False,21.73,False,20.59,False,19.51,False
CZR,2025-05-01,27.2,2.42,2025-07-16,30.12,29.42,30.0,10.29,24.48,False,23.12,False,21.76,False,22.32,False,21.14,False,20.03,False
