symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
HY,2025-05-01,39.24,2.13,2025-05-02,39.79,39.63,40.33,2.78,35.32,False,33.35,False,31.39,False,32.11,False,30.61,False,29.19,False
HY,2025-05-01,39.24,2.13,2025-05-05,39.9,39.27,39.77,1.35,35.32,False,33.35,False,31.39,False,32.05,False,30.56,False,29.13,False
HY,2025-05-01,39.24,2.13,2025-05-06,39.9,39.9,40.53,3.29,35.32,False,33.35,False,31.39,False,31.41,False,29.95,False,28.56,False
HY,2025-05-01,39.24,2.13,2025-05-07,38.62,37.01,38.68,-1.43,35.32,False,33.35,False,31.39,False,31.41,False,29.95,False,28.56,False
HY,2025-05-01,39.24,2.13,2025-05-08,39.15,38.0,40.56,3.36,35.32,False,33.35,False,31.39,False,33.97,False,32.39,False,30.88,False
HY,2025-05-01,39.24,2.13,2025-05-09,40.8,39.22,39.65,1.04,35.32,False,33.35,False,31.39,False,32.45,False,30.94,False,29.5,False
HY,2025-05-01,39.24,2.13,2025-05-12,41.81,41.81,42.35,7.93,35.32,False,33.35,False,31.39,False,32.67,False,31.15,False,29.7,False
HY,2025-05-01,39.24,2.13,2025-05-13,42.72,42.59,43.32,10.4,35.32,False,33.35,False,31.39,False,32.91,False,31.38,False,29.92,False
HY,2025-05-01,39.24,2.13,2025-05-14,43.67,42.38,42.61,8.59,35.32,False,33.35,False,31.39,False,33.04,False,31.51,False,30.04,False
HY,2025-05-01,39.24,2.13,2025-05-15,42.44,42.32,42.79,9.05,35.32,False,33.35,False,31.39,False,32.94,False,31.41,False,29.95,False
HY,2025-05-01,39.24,2.13,2025-05-16,43.15,42.2,42.69,8.79,35.32,False,33.35,False,31.39,False,33.16,False,31.62,False,30.15,False
HY,2025-05-01,39.24,2.13,2025-05-19,41.75,41.7,42.78,9.02,35.32,False,33.35,False,31.39,False,32.42,False,30.91,False,29.47,False
HY,2025-05-01,39.24,2.13,2025-05-20,42.58,41.91,42.06,7.19,35.32,False,33.35,False,31.39,False,32.88,False,31.35,False,29.89,False
HY,2025-05-01,39.24,2.13,2025-05-21,41.54,40.56,40.57,3.39,35.32,False,33.35,False,31.39,False,33.22,False,31.67,False,30.2,False
HY,2025-05-01,39.24,2.13,2025-05-22,40.41,40.0,40.54,3.31,35.32,False,33.35,False,31.39,False,33.91,False,32.33,False,30.83,False
HY,2025-05-01,39.24,2.13,2025-05-23,39.68,39.55,39.59,0.89,35.32,False,33.35,False,31.39,False,34.27,False,32.68,False,31.16,False
HY,2025-05-01,39.24,2.13,2025-05-27,40.42,40.02,41.49,5.73,35.32,False,33.35,False,31.39,False,33.53,False,31.97,False,30.48,False
HY,2025-05-01,39.24,2.13,2025-05-28,41.32,40.49,40.54,3.31,35.32,False,33.35,False,31.39,False,33.95,False,32.37,False,30.87,False
HY,2025-05-01,39.24,2.13,2025-05-29,40.95,40.39,40.86,4.13,35.32,False,33.35,False,31.39,False,33.31,False,31.76,False,30.28,False
HY,2025-05-01,39.24,2.13,2025-05-30,40.5,40.06,40.16,2.34,35.32,False,33.35,False,31.39,False,34.01,False,32.43,False,30.92,False
HY,2025-05-01,39.24,2.13,2025-06-02,39.91,39.19,39.51,0.69,35.32,False,33.35,False,31.39,False,34.96,False,33.33,False,31.78,False
HY,2025-05-01,39.24,2.13,2025-06-03,39.93,38.0,41.33,5.33,35.32,False,33.35,False,31.39,False,34.47,False,32.87,False,31.34,False
HY,2025-05-01,39.24,2.13,2025-06-04,41.5,40.8,40.85,4.1,35.32,False,33.35,False,31.39,False,35.13,False,33.5,False,31.94,False
HY,2025-05-01,39.24,2.13,2025-06-05,40.85,40.48,40.83,4.05,35.32,False,33.35,False,31.39,False,33.53,False,31.97,False,30.48,False
HY,2025-05-01,39.24,2.13,2025-06-06,41.35,40.89,41.26,5.15,35.32,False,33.35,False,31.39,False,35.16,False,33.52,False,31.96,False
HY,2025-05-01,39.24,2.13,2025-06-09,41.45,41.45,41.97,6.96,35.32,False,33.35,False,31.39,False,34.37,False,32.77,False,31.25,False
HY,2025-05-01,39.24,2.13,2025-06-10,42.27,41.5,41.95,6.91,35.32,False,33.35,False,31.39,False,36.71,False,35.0,False,33.37,False
HY,2025-05-01,39.24,2.13,2025-06-11,42.37,41.5,42.14,7.39,35.32,False,33.35,False,31.39,False,37.55,False,35.8,False,34.14,False
HY,2025-05-01,39.24,2.13,2025-06-12,41.67,41.03,41.14,4.84,35.32,False,33.35,False,31.39,False,36.94,False,35.22,False,33.58,False
HY,2025-05-01,39.24,2.13,2025-06-13,40.46,39.33,39.39,0.38,35.32,False,33.35,False,31.39,False,37.09,False,35.37,False,33.72,False
HY,2025-05-01,39.24,2.13,2025-06-16,39.65,39.57,39.79,1.4,35.32,False,33.35,False,31.39,False,37.0,False,35.28,False,33.64,False
HY,2025-05-01,39.24,2.13,2025-06-17,39.61,39.21,39.3,0.15,35.32,False,33.35,False,31.39,False,37.08,False,35.36,False,33.71,False
HY,2025-05-01,39.24,2.13,2025-06-18,39.34,38.46,38.52,-1.83,35.32,False,33.35,False,31.39,False,36.46,False,34.76,False,33.14,False
HY,2025-05-01,39.24,2.13,2025-06-20,38.78,38.42,38.48,-1.94,35.32,False,33.35,False,31.39,False,35.17,False,33.53,False,31.97,False
HY,2025-05-01,39.24,2.13,2025-06-23,38.31,37.6,38.62,-1.58,35.32,False,33.35,False,31.39,False,35.14,False,33.51,False,31.95,False
HY,2025-05-01,39.24,2.13,2025-06-24,39.0,38.73,39.52,0.71,35.32,False,33.35,False,31.39,False,34.32,False,32.72,False,31.2,False
HY,2025-05-01,39.24,2.13,2025-06-25,39.69,39.09,39.15,-0.23,35.32,False,33.35,False,31.39,False,35.96,False,34.29,False,32.7,False
