symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
JELD,2026-05-01,1.45,4.11,2026-05-04,1.44,1.35,1.39,-4.14,1.3,False,1.23,False,1.16,False,0.83,False,0.75,False,0.69,False
JELD,2026-05-01,1.45,4.11,2026-05-05,1.4,1.25,1.64,13.1,1.3,True,1.23,False,1.16,False,0.72,False,0.66,False,0.6,False
JELD,2026-05-01,1.45,4.11,2026-05-06,1.59,1.59,1.73,19.31,1.3,False,1.23,False,1.16,False,0.76,False,0.69,False,0.63,False
JELD,2026-05-01,1.45,4.11,2026-05-07,1.72,1.67,1.69,16.55,1.3,False,1.23,False,1.16,False,0.82,False,0.75,False,0.68,False
JELD,2026-05-01,1.45,4.11,2026-05-08,1.69,1.6,1.7,17.24,1.3,False,1.23,False,1.16,False,0.8,False,0.73,False,0.66,False
JELD,2026-05-01,1.45,4.11,2026-05-11,1.69,1.59,1.61,11.03,1.3,False,1.23,False,1.16,False,0.86,False,0.78,False,0.71,False
JELD,2026-05-01,1.45,4.11,2026-05-12,1.62,1.56,1.57,8.28,1.3,False,1.23,False,1.16,False,0.84,False,0.76,False,0.7,False
JELD,2026-05-01,1.45,4.11,2026-05-13,1.57,1.44,1.51,4.14,1.3,False,1.23,False,1.16,False,0.9,False,0.82,False,0.75,False
JELD,2026-05-01,1.45,4.11,2026-05-14,1.53,1.5,1.54,6.21,1.3,False,1.23,False,1.16,False,0.92,False,0.84,False,0.76,False
JELD,2026-05-01,1.45,4.11,2026-05-15,1.53,1.46,1.47,1.38,1.3,False,1.23,False,1.16,False,0.97,False,0.89,False,0.81,False
JELD,2026-05-01,1.45,4.11,2026-05-18,1.46,1.43,1.5,3.45,1.3,False,1.23,False,1.16,False,1.07,False,0.98,False,0.89,False
JELD,2026-05-01,1.45,4.11,2026-05-19,1.53,1.36,1.43,-1.38,1.3,False,1.23,False,1.16,False,0.95,False,0.87,False,0.79,False
JELD,2026-05-01,1.45,4.11,2026-05-20,1.43,1.37,1.49,2.76,1.3,False,1.23,False,1.16,False,0.99,False,0.91,False,0.83,False
JELD,2026-05-01,1.45,4.11,2026-05-21,1.48,1.43,1.6,10.34,1.3,False,1.23,False,1.16,False,0.99,False,0.9,False,0.82,False
JELD,2026-05-01,1.45,4.11,2026-05-22,1.62,1.62,1.74,20.0,1.3,False,1.23,False,1.16,False,1.11,False,1.01,False,0.92,False
JELD,2026-05-01,1.45,4.11,2026-05-26,1.74,1.7,1.8,24.14,1.3,False,1.23,False,1.16,False,1.17,False,1.07,False,0.97,False
JELD,2026-05-01,1.45,4.11,2026-05-27,1.78,1.78,2.05,41.38,1.3,False,1.23,False,1.16,False,1.16,False,1.06,False,0.97,False
JELD,2026-05-01,1.45,4.11,2026-05-28,2.01,1.92,2.11,45.52,1.3,False,1.23,False,1.16,False,1.09,False,0.99,False,0.9,False
JELD,2026-05-01,1.45,4.11,2026-05-29,2.1,2.02,2.16,48.97,1.3,False,1.23,False,1.16,False,1.04,False,0.95,False,0.87,False
JELD,2026-05-01,1.45,4.11,2026-06-01,2.13,1.97,1.99,37.24,1.3,False,1.23,False,1.16,False,1.1,False,1.0,False,0.92,False
JELD,2026-05-01,1.45,4.11,2026-06-02,1.98,1.94,2.03,40.0,1.3,False,1.23,False,1.16,False,1.06,False,0.96,False,0.88,False
JELD,2026-05-01,1.45,4.11,2026-06-03,2.0,1.88,2.05,41.38,1.3,False,1.23,False,1.16,False,1.25,False,1.14,False,1.04,False
JELD,2026-05-01,1.45,4.11,2026-06-04,2.01,1.97,2.02,39.31,1.3,False,1.23,False,1.16,False,1.31,False,1.2,False,1.09,False
JELD,2026-05-01,1.45,4.11,2026-06-05,2.0,1.81,1.86,28.28,1.3,False,1.23,False,1.16,False,1.28,False,1.17,False,1.07,False
JELD,2026-05-01,1.45,4.11,2026-06-08,1.87,1.64,1.64,13.1,1.3,False,1.23,False,1.16,False,1.29,False,1.18,False,1.07,False
JELD,2026-05-01,1.45,4.11,2026-06-09,1.62,1.61,1.75,20.69,1.3,False,1.23,False,1.16,False,1.22,False,1.12,False,1.02,False
JELD,2026-05-01,1.45,4.11,2026-06-10,1.75,1.61,1.63,12.41,1.3,False,1.23,False,1.16,False,1.19,False,1.09,False,0.99,False
JELD,2026-05-01,1.45,4.11,2026-06-11,1.66,1.58,1.79,23.45,1.3,False,1.23,False,1.16,False,1.15,False,1.05,False,0.95,False
JELD,2026-05-01,1.45,4.11,2026-06-12,1.8,1.75,1.77,22.07,1.3,False,1.23,False,1.16,False,1.17,False,1.07,False,0.97,False
JELD,2026-05-01,1.45,4.11,2026-06-15,1.88,1.78,1.79,23.45,1.3,False,1.23,False,1.16,False,1.12,False,1.02,False,0.93,False
JELD,2026-05-01,1.45,4.11,2026-06-16,1.82,1.79,1.82,25.52,1.3,False,1.23,False,1.16,False,1.14,False,1.04,False,0.95,False
JELD,2026-05-01,1.45,4.11,2026-06-17,1.86,1.67,1.67,15.17,1.3,False,1.23,False,1.16,False,1.09,False,0.99,False,0.9,False
JELD,2026-05-01,1.45,4.11,2026-06-18,1.68,1.68,1.78,22.76,1.3,False,1.23,False,1.16,False,1.13,False,1.03,False,0.94,False
JELD,2026-05-01,1.45,4.11,2026-06-22,1.77,1.65,1.66,14.48,1.3,False,1.23,False,1.16,False,1.21,False,1.11,False,1.01,False
JELD,2026-05-01,1.45,4.11,2026-06-23,1.63,1.51,1.52,4.83,1.3,False,1.23,False,1.16,False,1.32,False,1.21,False,1.1,False
JELD,2026-05-01,1.45,4.11,2026-06-24,1.54,1.54,1.69,16.55,1.3,False,1.23,False,1.16,False,1.37,False,1.25,False,1.14,False
JELD,2026-05-01,1.45,4.11,2026-06-25,1.71,1.57,1.65,13.79,1.3,False,1.23,False,1.16,False,1.56,False,1.42,False,1.3,False
JELD,2026-05-01,1.45,4.11,2026-06-26,1.64,1.37,1.44,-0.69,1.3,False,1.23,False,1.16,False,1.6,True,1.46,True,1.33,False
JELD,2026-05-01,1.45,4.11,2026-06-29,1.42,1.32,1.38,-4.83,1.3,False,1.23,False,1.16,False,1.64,True,1.5,True,1.36,True
