symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
LE,2026-05-01,11.4,2.93,2026-05-04,11.4,10.73,10.83,-5.0,10.26,False,9.69,False,9.12,False,8.96,False,8.39,False,7.86,False
LE,2026-05-01,11.4,2.93,2026-05-05,10.92,10.82,10.86,-4.74,10.26,False,9.69,False,9.12,False,8.29,False,7.76,False,7.27,False
LE,2026-05-01,11.4,2.93,2026-05-06,10.93,10.8,11.23,-1.49,10.26,False,9.69,False,9.12,False,8.77,False,8.21,False,7.69,False
LE,2026-05-01,11.4,2.93,2026-05-07,11.25,11.21,11.56,1.4,10.26,False,9.69,False,9.12,False,9.36,False,8.77,False,8.21,False
LE,2026-05-01,11.4,2.93,2026-05-08,11.55,11.45,11.53,1.14,10.26,False,9.69,False,9.12,False,8.93,False,8.37,False,7.83,False
LE,2026-05-01,11.4,2.93,2026-05-11,11.45,11.11,11.16,-2.11,10.26,False,9.69,False,9.12,False,9.3,False,8.71,False,8.16,False
LE,2026-05-01,11.4,2.93,2026-05-12,11.19,10.84,11.01,-3.42,10.26,False,9.69,False,9.12,False,9.38,False,8.79,False,8.23,False
LE,2026-05-01,11.4,2.93,2026-05-13,10.93,10.85,11.11,-2.54,10.26,False,9.69,False,9.12,False,9.49,False,8.89,False,8.32,False
LE,2026-05-01,11.4,2.93,2026-05-14,11.26,10.82,10.86,-4.74,10.26,False,9.69,False,9.12,False,9.86,False,9.23,False,8.65,False
LE,2026-05-01,11.4,2.93,2026-05-15,10.67,10.67,10.97,-3.77,10.26,False,9.69,False,9.12,False,10.22,False,9.57,False,8.97,False
LE,2026-05-01,11.4,2.93,2026-05-18,10.97,10.67,10.77,-5.53,10.26,False,9.69,False,9.12,False,10.43,False,9.77,False,9.15,False
LE,2026-05-01,11.4,2.93,2026-05-19,10.67,10.21,10.42,-8.6,10.26,True,9.69,False,9.12,False,10.18,False,9.53,False,8.93,False
LE,2026-05-01,11.4,2.93,2026-05-20,10.4,10.16,10.83,-5.0,10.26,True,9.69,False,9.12,False,10.05,False,9.41,False,8.82,False
LE,2026-05-01,11.4,2.93,2026-05-21,10.7,10.63,11.57,1.49,10.26,False,9.69,False,9.12,False,9.61,False,9.0,False,8.43,False
LE,2026-05-01,11.4,2.93,2026-05-22,11.57,11.31,11.67,2.37,10.26,False,9.69,False,9.12,False,9.44,False,8.84,False,8.28,False
LE,2026-05-01,11.4,2.93,2026-05-26,11.72,11.64,12.06,5.79,10.26,False,9.69,False,9.12,False,9.39,False,8.8,False,8.24,False
LE,2026-05-01,11.4,2.93,2026-05-27,12.06,11.57,12.28,7.72,10.26,False,9.69,False,9.12,False,9.13,False,8.55,False,8.01,False
LE,2026-05-01,11.4,2.93,2026-05-28,12.31,11.78,11.83,3.77,10.26,False,9.69,False,9.12,False,9.02,False,8.45,False,7.91,False
LE,2026-05-01,11.4,2.93,2026-05-29,11.75,11.47,11.75,3.07,10.26,False,9.69,False,9.12,False,9.28,False,8.69,False,8.14,False
LE,2026-05-01,11.4,2.93,2026-06-01,11.6,11.35,11.72,2.81,10.26,False,9.69,False,9.12,False,9.37,False,8.77,False,8.22,False
LE,2026-05-01,11.4,2.93,2026-06-02,11.77,11.64,11.87,4.12,10.26,False,9.69,False,9.12,False,8.9,False,8.33,False,7.81,False
LE,2026-05-01,11.4,2.93,2026-06-03,11.82,11.18,11.27,-1.14,10.26,False,9.69,False,9.12,False,8.92,False,8.36,False,7.83,False
LE,2026-05-01,11.4,2.93,2026-06-04,11.38,10.76,11.09,-2.72,10.26,False,9.69,False,9.12,False,9.23,False,8.64,False,8.09,False
LE,2026-05-01,11.4,2.93,2026-06-05,11.08,10.6,10.66,-6.49,10.26,False,9.69,False,9.12,False,9.5,False,8.9,False,8.33,False
LE,2026-05-01,11.4,2.93,2026-06-08,10.63,10.6,11.21,-1.67,10.26,False,9.69,False,9.12,False,9.47,False,8.87,False,8.31,False
LE,2026-05-01,11.4,2.93,2026-06-09,10.92,10.51,12.16,6.67,10.26,False,9.69,False,9.12,False,9.17,False,8.59,False,8.04,False
LE,2026-05-01,11.4,2.93,2026-06-10,12.0,11.18,12.35,8.33,10.26,False,9.69,False,9.12,False,9.05,False,8.47,False,7.94,False
LE,2026-05-01,11.4,2.93,2026-06-11,12.25,11.97,12.47,9.39,10.26,False,9.69,False,9.12,False,9.13,False,8.55,False,8.01,False
LE,2026-05-01,11.4,2.93,2026-06-12,12.62,12.33,12.41,8.86,10.26,False,9.69,False,9.12,False,8.92,False,8.36,False,7.83,False
LE,2026-05-01,11.4,2.93,2026-06-15,12.44,11.98,12.33,8.16,10.26,False,9.69,False,9.12,False,9.01,False,8.44,False,7.91,False
LE,2026-05-01,11.4,2.93,2026-06-16,12.42,11.93,12.13,6.4,10.26,False,9.69,False,9.12,False,8.85,False,8.29,False,7.76,False
LE,2026-05-01,11.4,2.93,2026-06-17,12.07,11.71,11.76,3.16,10.26,False,9.69,False,9.12,False,8.56,False,8.02,False,7.51,False
LE,2026-05-01,11.4,2.93,2026-06-18,12.2,12.0,12.44,9.12,10.26,False,9.69,False,9.12,False,8.9,False,8.33,False,7.81,False
LE,2026-05-01,11.4,2.93,2026-06-22,12.35,11.17,11.21,-1.67,10.26,False,9.69,False,9.12,False,9.51,False,8.9,False,8.34,False
LE,2026-05-01,11.4,2.93,2026-06-23,11.02,10.9,11.38,-0.18,10.26,False,9.69,False,9.12,False,9.59,False,8.98,False,8.41,False
LE,2026-05-01,11.4,2.93,2026-06-24,11.38,11.38,11.92,4.56,10.26,False,9.69,False,9.12,False,9.91,False,9.28,False,8.69,False
LE,2026-05-01,11.4,2.93,2026-06-25,11.94,11.61,11.73,2.89,10.26,False,9.69,False,9.12,False,10.09,False,9.45,False,8.85,False
LE,2026-05-01,11.4,2.93,2026-06-26,11.65,11.6,11.89,4.3,10.26,False,9.69,False,9.12,False,9.72,False,9.1,False,8.53,False
LE,2026-05-01,11.4,2.93,2026-06-29,12.01,11.4,11.4,0.0,10.26,False,9.69,False,9.12,False,9.65,False,9.04,False,8.47,False
LE,2026-05-01,11.4,2.93,2026-06-30,10.82,9.56,10.48,-8.07,10.26,True,9.69,True,9.12,False,9.63,True,9.02,False,8.45,False
LE,2026-05-01,11.4,2.93,2026-07-01,10.42,10.15,10.5,-7.89,10.26,True,9.69,False,9.12,False,9.75,False,9.13,False,8.56,False
LE,2026-05-01,11.4,2.93,2026-07-02,10.53,10.52,10.88,-4.56,10.26,False,9.69,False,9.12,False,9.26,False,8.67,False,8.12,False
LE,2026-05-01,11.4,2.93,2026-07-06,10.81,10.63,11.62,1.93,10.26,False,9.69,False,9.12,False,9.11,False,8.53,False,7.99,False
LE,2026-05-01,11.4,2.93,2026-07-07,11.56,11.55,12.05,5.7,10.26,False,9.69,False,9.12,False,8.76,False,8.2,False,7.68,False
LE,2026-05-01,11.4,2.93,2026-07-08,12.01,11.75,12.06,5.79,10.26,False,9.69,False,9.12,False,9.21,False,8.63,False,8.08,False
LE,2026-05-01,11.4,2.93,2026-07-09,11.97,10.61,10.71,-6.05,10.26,False,9.69,False,9.12,False,9.99,False,9.36,False,8.76,False
LE,2026-05-01,11.4,2.93,2026-07-10,10.71,10.6,11.26,-1.23,10.26,False,9.69,False,9.12,False,10.15,False,9.5,False,8.9,False
LE,2026-05-01,11.4,2.93,2026-07-13,11.19,11.04,11.43,0.26,10.26,False,9.69,False,9.12,False,10.25,False,9.6,False,8.99,False
LE,2026-05-01,11.4,2.93,2026-07-14,11.39,11.07,11.09,-2.72,10.26,False,9.69,False,9.12,False,10.2,False,9.55,False,8.94,False
LE,2026-05-01,11.4,2.93,2026-07-15,11.17,11.15,11.56,1.4,10.26,False,9.69,False,9.12,False,10.13,False,9.49,False,8.89,False
LE,2026-05-01,11.4,2.93,2026-07-16,11.67,11.57,11.8,3.51,10.26,False,9.69,False,9.12,False,9.97,False,9.33,False,8.74,False
LE,2026-05-01,11.4,2.93,2026-07-17,11.74,11.6,11.6,1.75,10.26,False,9.69,False,9.12,False,9.66,False,9.05,False,8.48,False
