symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
QDEL,2026-05-01,12.64,3.69,2026-05-04,12.56,11.86,12.42,-1.74,11.38,False,10.74,False,10.11,False,12.4,True,11.42,False,10.52,False
QDEL,2026-05-01,12.64,3.69,2026-05-05,12.44,11.58,11.66,-7.75,11.38,False,10.74,False,10.11,False,11.7,True,10.77,False,9.92,False
QDEL,2026-05-01,12.64,3.69,2026-05-06,11.16,10.21,10.96,-13.29,11.38,True,10.74,True,10.11,False,11.96,True,11.02,True,10.15,False
QDEL,2026-05-01,12.64,3.69,2026-05-07,10.81,10.5,10.77,-14.79,11.38,True,10.74,True,10.11,False,11.05,True,10.18,False,9.37,False
QDEL,2026-05-01,12.64,3.69,2026-05-08,10.67,10.43,10.8,-14.56,11.38,True,10.74,True,10.11,False,10.82,True,9.96,False,9.17,False
QDEL,2026-05-01,12.64,3.69,2026-05-11,10.83,9.92,9.96,-21.2,11.38,True,10.74,True,10.11,True,12.56,True,11.56,True,10.65,True
QDEL,2026-05-01,12.64,3.69,2026-05-12,10.06,10.05,11.12,-12.03,11.38,True,10.74,True,10.11,True,13.53,True,12.46,True,11.47,True
QDEL,2026-05-01,12.64,3.69,2026-05-13,10.98,10.76,11.05,-12.58,11.38,True,10.74,False,10.11,False,13.66,True,12.58,True,11.58,True
QDEL,2026-05-01,12.64,3.69,2026-05-14,11.16,10.98,11.39,-9.89,11.38,True,10.74,False,10.11,False,9.91,False,9.13,False,8.4,False
QDEL,2026-05-01,12.64,3.69,2026-05-15,11.39,10.31,10.32,-18.35,11.38,True,10.74,True,10.11,False,9.93,False,9.14,False,8.42,False
QDEL,2026-05-01,12.64,3.69,2026-05-18,10.38,10.34,10.84,-14.24,11.38,True,10.74,True,10.11,False,10.07,False,9.27,False,8.54,False
QDEL,2026-05-01,12.64,3.69,2026-05-19,11.04,10.64,11.38,-9.97,11.38,True,10.74,True,10.11,False,9.4,False,8.66,False,7.97,False
QDEL,2026-05-01,12.64,3.69,2026-05-20,11.4,11.13,11.91,-5.78,11.38,True,10.74,False,10.11,False,9.29,False,8.56,False,7.88,False
QDEL,2026-05-01,12.64,3.69,2026-05-21,11.69,11.42,12.39,-1.98,11.38,False,10.74,False,10.11,False,8.78,False,8.08,False,7.44,False
QDEL,2026-05-01,12.64,3.69,2026-05-22,12.4,11.84,11.86,-6.17,11.38,False,10.74,False,10.11,False,9.05,False,8.34,False,7.68,False
QDEL,2026-05-01,12.64,3.69,2026-05-26,11.94,11.69,11.99,-5.14,11.38,False,10.74,False,10.11,False,9.6,False,8.84,False,8.14,False
QDEL,2026-05-01,12.64,3.69,2026-05-27,12.0,11.82,12.33,-2.45,11.38,False,10.74,False,10.11,False,9.39,False,8.64,False,7.96,False
QDEL,2026-05-01,12.64,3.69,2026-05-28,12.16,12.05,13.07,3.4,11.38,False,10.74,False,10.11,False,8.97,False,8.26,False,7.61,False
QDEL,2026-05-01,12.64,3.69,2026-05-29,13.15,12.86,13.02,3.01,11.38,False,10.74,False,10.11,False,9.61,False,8.85,False,8.15,False
