symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
FOXF,2026-06-01,17.79,2.75,2026-06-02,17.79,17.78,18.04,1.41,16.01,False,15.12,False,14.23,False,14.01,False,13.17,False,12.39,False
FOXF,2026-06-01,17.79,2.75,2026-06-03,17.99,17.57,17.81,0.11,16.01,False,15.12,False,14.23,False,14.69,False,13.81,False,12.99,False
FOXF,2026-06-01,17.79,2.75,2026-06-04,18.0,17.6,17.75,-0.22,16.01,False,15.12,False,14.23,False,15.12,False,14.22,False,13.37,False
FOXF,2026-06-01,17.79,2.75,2026-06-05,17.72,17.19,17.41,-2.14,16.01,False,15.12,False,14.23,False,15.44,False,14.52,False,13.66,False
FOXF,2026-06-01,17.79,2.75,2026-06-08,17.42,17.42,17.66,-0.73,16.01,False,15.12,False,14.23,False,14.8,False,13.92,False,13.09,False
FOXF,2026-06-01,17.79,2.75,2026-06-09,17.77,17.59,18.13,1.91,16.01,False,15.12,False,14.23,False,14.47,False,13.61,False,12.8,False
FOXF,2026-06-01,17.79,2.75,2026-06-10,18.12,17.65,17.65,-0.79,16.01,False,15.12,False,14.23,False,14.0,False,13.16,False,12.38,False
FOXF,2026-06-01,17.79,2.75,2026-06-11,17.68,17.49,18.17,2.14,16.01,False,15.12,False,14.23,False,13.51,False,12.71,False,11.95,False
FOXF,2026-06-01,17.79,2.75,2026-06-12,18.25,18.03,18.09,1.69,16.01,False,15.12,False,14.23,False,13.43,False,12.63,False,11.88,False
FOXF,2026-06-01,17.79,2.75,2026-06-15,18.29,18.25,18.41,3.49,16.01,False,15.12,False,14.23,False,13.36,False,12.57,False,11.82,False
FOXF,2026-06-01,17.79,2.75,2026-06-16,18.51,17.92,18.14,1.97,16.01,False,15.12,False,14.23,False,13.79,False,12.97,False,12.19,False
FOXF,2026-06-01,17.79,2.75,2026-06-17,17.96,17.49,17.64,-0.84,16.01,False,15.12,False,14.23,False,13.36,False,12.56,False,11.81,False
FOXF,2026-06-01,17.79,2.75,2026-06-18,17.92,17.92,18.67,4.95,16.01,False,15.12,False,14.23,False,13.61,False,12.8,False,12.03,False
FOXF,2026-06-01,17.79,2.75,2026-06-22,18.64,17.91,17.94,0.84,16.01,False,15.12,False,14.23,False,13.58,False,12.77,False,12.01,False
FOXF,2026-06-01,17.79,2.75,2026-06-23,17.55,17.49,17.55,-1.35,16.01,False,15.12,False,14.23,False,13.54,False,12.73,False,11.97,False
FOXF,2026-06-01,17.79,2.75,2026-06-24,17.55,17.47,18.51,4.05,16.01,False,15.12,False,14.23,False,13.9,False,13.07,False,12.29,False
FOXF,2026-06-01,17.79,2.75,2026-06-25,18.79,18.62,18.77,5.51,16.01,False,15.12,False,14.23,False,15.1,False,14.2,False,13.36,False
FOXF,2026-06-01,17.79,2.75,2026-06-26,18.52,18.51,18.91,6.3,16.01,False,15.12,False,14.23,False,15.66,False,14.73,False,13.85,False
FOXF,2026-06-01,17.79,2.75,2026-06-29,18.86,17.81,18.09,1.69,16.01,False,15.12,False,14.23,False,15.0,False,14.11,False,13.27,False
FOXF,2026-06-01,17.79,2.75,2026-06-30,17.2,15.68,16.95,-4.72,16.01,True,15.12,False,14.23,False,14.8,False,13.91,False,13.08,False
FOXF,2026-06-01,17.79,2.75,2026-07-01,17.04,16.59,17.04,-4.22,16.01,False,15.12,False,14.23,False,15.0,False,14.11,False,13.27,False
FOXF,2026-06-01,17.79,2.75,2026-07-02,17.22,16.3,16.51,-7.2,16.01,False,15.12,False,14.23,False,14.81,False,13.93,False,13.1,False
FOXF,2026-06-01,17.79,2.75,2026-07-06,16.55,16.31,16.72,-6.01,16.01,False,15.12,False,14.23,False,14.76,False,13.88,False,13.06,False
FOXF,2026-06-01,17.79,2.75,2026-07-07,16.74,16.46,17.0,-4.44,16.01,False,15.12,False,14.23,False,14.48,False,13.62,False,12.8,False
FOXF,2026-06-01,17.79,2.75,2026-07-08,16.92,16.17,16.5,-7.25,16.01,False,15.12,False,14.23,False,14.69,False,13.81,False,12.99,False
FOXF,2026-06-01,17.79,2.75,2026-07-09,16.5,16.24,16.62,-6.58,16.01,False,15.12,False,14.23,False,15.08,False,14.18,False,13.33,False
FOXF,2026-06-01,17.79,2.75,2026-07-10,16.63,16.63,16.99,-4.5,16.01,False,15.12,False,14.23,False,14.68,False,13.8,False,12.98,False
FOXF,2026-06-01,17.79,2.75,2026-07-13,17.09,17.09,17.33,-2.59,16.01,False,15.12,False,14.23,False,15.11,False,14.21,False,13.36,False
FOXF,2026-06-01,17.79,2.75,2026-07-14,17.27,17.0,17.38,-2.3,16.01,False,15.12,False,14.23,False,15.04,False,14.15,False,13.31,False
FOXF,2026-06-01,17.79,2.75,2026-07-15,17.46,17.25,18.02,1.29,16.01,False,15.12,False,14.23,False,15.31,False,14.4,False,13.54,False
FOXF,2026-06-01,17.79,2.75,2026-07-16,18.14,17.95,19.53,9.78,16.01,False,15.12,False,14.23,False,15.09,False,14.19,False,13.34,False
FOXF,2026-06-01,17.79,2.75,2026-07-17,19.01,18.68,19.02,6.91,16.01,False,15.12,False,14.23,False,14.67,False,13.8,False,12.97,False
