symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
IRWD,2026-06-01,3.46,5.03,2026-06-02,3.45,3.25,3.28,-5.2,3.11,False,2.94,False,2.77,False,3.27,True,2.93,False,2.61,False
IRWD,2026-06-01,3.46,5.03,2026-06-03,3.3,3.19,3.24,-6.36,3.11,False,2.94,False,2.77,False,3.33,True,2.98,False,2.66,False
IRWD,2026-06-01,3.46,5.03,2026-06-04,3.25,3.25,3.4,-1.73,3.11,False,2.94,False,2.77,False,3.45,True,3.08,False,2.75,False
IRWD,2026-06-01,3.46,5.03,2026-06-05,3.37,3.31,3.31,-4.34,3.11,False,2.94,False,2.77,False,2.98,False,2.66,False,2.38,False
IRWD,2026-06-01,3.46,5.03,2026-06-08,3.49,3.25,3.29,-4.91,3.11,False,2.94,False,2.77,False,3.01,False,2.69,False,2.4,False
IRWD,2026-06-01,3.46,5.03,2026-06-09,3.27,3.15,3.22,-6.94,3.11,False,2.94,False,2.77,False,2.98,False,2.66,False,2.38,False
IRWD,2026-06-01,3.46,5.03,2026-06-10,3.2,3.2,3.35,-3.18,3.11,False,2.94,False,2.77,False,2.92,False,2.61,False,2.33,False
IRWD,2026-06-01,3.46,5.03,2026-06-11,3.37,3.33,3.63,4.91,3.11,False,2.94,False,2.77,False,2.63,False,2.35,False,2.1,False
IRWD,2026-06-01,3.46,5.03,2026-06-12,3.65,3.58,3.65,5.49,3.11,False,2.94,False,2.77,False,2.62,False,2.34,False,2.09,False
IRWD,2026-06-01,3.46,5.03,2026-06-15,3.77,3.64,3.69,6.65,3.11,False,2.94,False,2.77,False,2.55,False,2.28,False,2.04,False
IRWD,2026-06-01,3.46,5.03,2026-06-16,3.75,3.66,3.66,5.78,3.11,False,2.94,False,2.77,False,2.5,False,2.23,False,1.99,False
IRWD,2026-06-01,3.46,5.03,2026-06-17,3.66,3.51,3.52,1.73,3.11,False,2.94,False,2.77,False,2.62,False,2.34,False,2.09,False
IRWD,2026-06-01,3.46,5.03,2026-06-18,3.59,3.49,3.54,2.31,3.11,False,2.94,False,2.77,False,2.8,False,2.5,False,2.23,False
IRWD,2026-06-01,3.46,5.03,2026-06-22,3.6,3.57,3.82,10.4,3.11,False,2.94,False,2.77,False,2.75,False,2.45,False,2.19,False
IRWD,2026-06-01,3.46,5.03,2026-06-23,3.77,3.76,3.86,11.56,3.11,False,2.94,False,2.77,False,2.8,False,2.5,False,2.23,False
IRWD,2026-06-01,3.46,5.03,2026-06-24,3.8,3.8,3.91,13.01,3.11,False,2.94,False,2.77,False,2.78,False,2.49,False,2.22,False
IRWD,2026-06-01,3.46,5.03,2026-06-25,3.95,3.8,3.84,10.98,3.11,False,2.94,False,2.77,False,2.65,False,2.37,False,2.11,False
IRWD,2026-06-01,3.46,5.03,2026-06-26,3.79,3.79,4.13,19.36,3.11,False,2.94,False,2.77,False,2.57,False,2.3,False,2.05,False
IRWD,2026-06-01,3.46,5.03,2026-06-29,4.08,3.99,4.3,24.28,3.11,False,2.94,False,2.77,False,2.55,False,2.28,False,2.03,False
IRWD,2026-06-01,3.46,5.03,2026-06-30,4.25,4.12,4.21,21.68,3.11,False,2.94,False,2.77,False,2.47,False,2.21,False,1.97,False
IRWD,2026-06-01,3.46,5.03,2026-07-01,4.14,4.06,4.12,19.08,3.11,False,2.94,False,2.77,False,2.34,False,2.09,False,1.87,False
IRWD,2026-06-01,3.46,5.03,2026-07-02,4.17,4.16,4.33,25.14,3.11,False,2.94,False,2.77,False,2.31,False,2.07,False,1.85,False
IRWD,2026-06-01,3.46,5.03,2026-07-06,4.33,4.27,4.38,26.59,3.11,False,2.94,False,2.77,False,2.43,False,2.17,False,1.94,False
IRWD,2026-06-01,3.46,5.03,2026-07-07,4.48,4.41,4.47,29.19,3.11,False,2.94,False,2.77,False,2.36,False,2.11,False,1.89,False
IRWD,2026-06-01,3.46,5.03,2026-07-08,4.68,4.59,4.77,37.86,3.11,False,2.94,False,2.77,False,2.35,False,2.1,False,1.87,False
IRWD,2026-06-01,3.46,5.03,2026-07-09,4.69,4.55,4.67,34.97,3.11,False,2.94,False,2.77,False,2.3,False,2.05,False,1.83,False
IRWD,2026-06-01,3.46,5.03,2026-07-10,4.62,4.37,4.47,29.19,3.11,False,2.94,False,2.77,False,2.39,False,2.14,False,1.91,False
IRWD,2026-06-01,3.46,5.03,2026-07-13,4.38,4.14,4.21,21.68,3.11,False,2.94,False,2.77,False,2.59,False,2.31,False,2.07,False
IRWD,2026-06-01,3.46,5.03,2026-07-14,4.18,3.94,3.98,15.03,3.11,False,2.94,False,2.77,False,2.6,False,2.33,False,2.08,False
IRWD,2026-06-01,3.46,5.03,2026-07-15,4.04,3.99,4.0,15.61,3.11,False,2.94,False,2.77,False,2.63,False,2.35,False,2.1,False
IRWD,2026-06-01,3.46,5.03,2026-07-16,3.93,3.81,3.87,11.85,3.11,False,2.94,False,2.77,False,2.61,False,2.33,False,2.09,False
IRWD,2026-06-01,3.46,5.03,2026-07-17,3.83,3.8,3.86,11.56,3.11,False,2.94,False,2.77,False,2.51,False,2.24,False,2.01,False
