symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
KRO,2026-06-01,6.99,3.5,2026-06-02,6.96,6.96,7.23,3.43,6.29,False,5.94,False,5.59,False,5.87,False,5.42,False,5.02,False
KRO,2026-06-01,6.99,3.5,2026-06-03,7.15,7.02,7.07,1.14,6.29,False,5.94,False,5.59,False,6.17,False,5.7,False,5.27,False
KRO,2026-06-01,6.99,3.5,2026-06-04,7.04,6.78,6.86,-1.86,6.29,False,5.94,False,5.59,False,5.98,False,5.53,False,5.12,False
KRO,2026-06-01,6.99,3.5,2026-06-05,6.84,6.38,6.43,-8.01,6.29,False,5.94,False,5.59,False,5.57,False,5.15,False,4.77,False
KRO,2026-06-01,6.99,3.5,2026-06-08,6.54,6.41,6.51,-6.87,6.29,False,5.94,False,5.59,False,5.76,False,5.33,False,4.93,False
KRO,2026-06-01,6.99,3.5,2026-06-09,6.55,6.42,6.53,-6.58,6.29,False,5.94,False,5.59,False,5.82,False,5.38,False,4.98,False
KRO,2026-06-01,6.99,3.5,2026-06-10,6.55,6.49,6.5,-7.01,6.29,False,5.94,False,5.59,False,5.53,False,5.11,False,4.72,False
KRO,2026-06-01,6.99,3.5,2026-06-11,6.66,6.65,6.82,-2.43,6.29,False,5.94,False,5.59,False,5.71,False,5.28,False,4.88,False
KRO,2026-06-01,6.99,3.5,2026-06-12,6.83,6.82,7.04,0.72,6.29,False,5.94,False,5.59,False,5.78,False,5.34,False,4.94,False
KRO,2026-06-01,6.99,3.5,2026-06-15,7.1,6.94,6.97,-0.29,6.29,False,5.94,False,5.59,False,5.34,False,4.93,False,4.56,False
KRO,2026-06-01,6.99,3.5,2026-06-16,7.09,6.95,6.97,-0.29,6.29,False,5.94,False,5.59,False,5.44,False,5.03,False,4.65,False
KRO,2026-06-01,6.99,3.5,2026-06-17,6.96,6.87,6.95,-0.57,6.29,False,5.94,False,5.59,False,5.3,False,4.91,False,4.54,False
KRO,2026-06-01,6.99,3.5,2026-06-18,7.01,6.79,6.84,-2.15,6.29,False,5.94,False,5.59,False,5.38,False,4.97,False,4.6,False
KRO,2026-06-01,6.99,3.5,2026-06-22,6.78,6.63,6.8,-2.72,6.29,False,5.94,False,5.59,False,5.38,False,4.97,False,4.6,False
KRO,2026-06-01,6.99,3.5,2026-06-23,6.66,6.49,6.5,-7.01,6.29,False,5.94,False,5.59,False,5.33,False,4.93,False,4.56,False
KRO,2026-06-01,6.99,3.5,2026-06-24,6.52,6.26,6.56,-6.15,6.29,True,5.94,False,5.59,False,5.45,False,5.04,False,4.66,False
KRO,2026-06-01,6.99,3.5,2026-06-25,6.56,6.4,6.63,-5.15,6.29,False,5.94,False,5.59,False,5.75,False,5.31,False,4.91,False
KRO,2026-06-01,6.99,3.5,2026-06-26,6.67,6.42,6.53,-6.58,6.29,False,5.94,False,5.59,False,5.91,False,5.47,False,5.06,False
KRO,2026-06-01,6.99,3.5,2026-06-29,6.49,6.22,6.33,-9.44,6.29,True,5.94,False,5.59,False,5.68,False,5.26,False,4.86,False
KRO,2026-06-01,6.99,3.5,2026-06-30,6.4,6.3,6.33,-9.44,6.29,False,5.94,False,5.59,False,5.53,False,5.11,False,4.72,False
KRO,2026-06-01,6.99,3.5,2026-07-01,6.28,6.11,6.13,-12.3,6.29,True,5.94,False,5.59,False,5.72,False,5.29,False,4.89,False
KRO,2026-06-01,6.99,3.5,2026-07-02,6.16,5.97,5.97,-14.59,6.29,True,5.94,False,5.59,False,5.59,False,5.17,False,4.78,False
KRO,2026-06-01,6.99,3.5,2026-07-06,6.04,5.82,5.84,-16.45,6.29,True,5.94,True,5.59,False,5.42,False,5.01,False,4.64,False
KRO,2026-06-01,6.99,3.5,2026-07-07,5.81,5.77,5.97,-14.59,6.29,True,5.94,True,5.59,False,5.08,False,4.7,False,4.35,False
KRO,2026-06-01,6.99,3.5,2026-07-08,5.96,5.81,5.88,-15.88,6.29,True,5.94,True,5.59,False,5.15,False,4.76,False,4.4,False
KRO,2026-06-01,6.99,3.5,2026-07-09,5.96,5.87,5.9,-15.59,6.29,True,5.94,True,5.59,False,5.16,False,4.77,False,4.41,False
KRO,2026-06-01,6.99,3.5,2026-07-10,5.89,5.85,5.89,-15.74,6.29,True,5.94,True,5.59,False,5.14,False,4.75,False,4.39,False
KRO,2026-06-01,6.99,3.5,2026-07-13,5.93,5.93,6.46,-7.58,6.29,True,5.94,True,5.59,False,5.39,False,4.99,False,4.61,False
KRO,2026-06-01,6.99,3.5,2026-07-14,6.6,6.37,6.41,-8.3,6.29,False,5.94,False,5.59,False,5.57,False,5.15,False,4.76,False
KRO,2026-06-01,6.99,3.5,2026-07-15,6.45,6.32,6.71,-4.01,6.29,False,5.94,False,5.59,False,5.51,False,5.1,False,4.71,False
KRO,2026-06-01,6.99,3.5,2026-07-16,6.64,6.58,6.68,-4.43,6.29,False,5.94,False,5.59,False,5.51,False,5.1,False,4.71,False
KRO,2026-06-01,6.99,3.5,2026-07-17,6.65,6.48,6.58,-5.87,6.29,False,5.94,False,5.59,False,5.49,False,5.08,False,4.7,False
