symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
OWLT,2026-06-01,5.49,4.16,2026-06-02,5.43,4.95,5.25,-4.37,4.94,False,4.67,False,4.39,False,3.63,False,3.31,False,3.01,False
OWLT,2026-06-01,5.49,4.16,2026-06-03,5.23,4.87,4.95,-9.84,4.94,True,4.67,False,4.39,False,3.75,False,3.42,False,3.12,False
OWLT,2026-06-01,5.49,4.16,2026-06-04,4.94,4.91,5.11,-6.92,4.94,True,4.67,False,4.39,False,3.93,False,3.58,False,3.27,False
OWLT,2026-06-01,5.49,4.16,2026-06-05,5.02,4.61,4.67,-14.94,4.94,True,4.67,True,4.39,False,3.68,False,3.35,False,3.05,False
OWLT,2026-06-01,5.49,4.16,2026-06-08,4.75,4.65,4.79,-12.75,4.94,True,4.67,True,4.39,False,4.34,False,3.96,False,3.61,False
OWLT,2026-06-01,5.49,4.16,2026-06-09,4.86,4.45,4.7,-14.39,4.94,True,4.67,True,4.39,False,4.63,True,4.22,False,3.84,False
OWLT,2026-06-01,5.49,4.16,2026-06-10,4.65,4.55,4.59,-16.39,4.94,True,4.67,True,4.39,False,4.48,False,4.08,False,3.72,False
OWLT,2026-06-01,5.49,4.16,2026-06-11,4.66,4.48,4.59,-16.39,4.94,True,4.67,True,4.39,False,4.25,False,3.87,False,3.53,False
OWLT,2026-06-01,5.49,4.16,2026-06-12,4.62,4.56,4.65,-15.3,4.94,True,4.67,True,4.39,False,4.09,False,3.72,False,3.39,False
OWLT,2026-06-01,5.49,4.16,2026-06-15,4.75,4.64,4.66,-15.12,4.94,True,4.67,True,4.39,False,4.2,False,3.83,False,3.49,False
OWLT,2026-06-01,5.49,4.16,2026-06-16,4.65,4.36,4.44,-19.13,4.94,True,4.67,True,4.39,True,4.15,False,3.78,False,3.44,False
OWLT,2026-06-01,5.49,4.16,2026-06-17,4.5,4.5,4.66,-15.12,4.94,True,4.67,True,4.39,False,4.18,False,3.81,False,3.47,False
OWLT,2026-06-01,5.49,4.16,2026-06-18,4.83,4.41,5.0,-8.93,4.94,True,4.67,True,4.39,False,4.52,True,4.12,False,3.75,False
OWLT,2026-06-01,5.49,4.16,2026-06-22,5.02,4.78,5.08,-7.47,4.94,True,4.67,False,4.39,False,4.34,False,3.96,False,3.61,False
OWLT,2026-06-01,5.49,4.16,2026-06-23,4.96,4.96,5.28,-3.83,4.94,False,4.67,False,4.39,False,4.38,False,3.99,False,3.64,False
OWLT,2026-06-01,5.49,4.16,2026-06-24,5.29,5.25,5.6,2.0,4.94,False,4.67,False,4.39,False,4.33,False,3.95,False,3.6,False
OWLT,2026-06-01,5.49,4.16,2026-06-25,5.61,5.31,5.34,-2.73,4.94,False,4.67,False,4.39,False,4.33,False,3.95,False,3.6,False
OWLT,2026-06-01,5.49,4.16,2026-06-26,5.26,5.26,5.49,0.0,4.94,False,4.67,False,4.39,False,4.54,False,4.14,False,3.77,False
OWLT,2026-06-01,5.49,4.16,2026-06-29,5.42,5.27,5.73,4.37,4.94,False,4.67,False,4.39,False,4.18,False,3.81,False,3.47,False
OWLT,2026-06-01,5.49,4.16,2026-06-30,5.68,5.57,5.74,4.55,4.94,False,4.67,False,4.39,False,4.15,False,3.78,False,3.45,False
OWLT,2026-06-01,5.49,4.16,2026-07-01,5.63,5.63,6.16,12.2,4.94,False,4.67,False,4.39,False,3.97,False,3.62,False,3.3,False
OWLT,2026-06-01,5.49,4.16,2026-07-02,6.16,5.7,5.76,4.92,4.94,False,4.67,False,4.39,False,3.74,False,3.41,False,3.11,False
OWLT,2026-06-01,5.49,4.16,2026-07-06,5.76,5.67,5.91,7.65,4.94,False,4.67,False,4.39,False,3.87,False,3.52,False,3.21,False
OWLT,2026-06-01,5.49,4.16,2026-07-07,5.85,5.51,5.63,2.55,4.94,False,4.67,False,4.39,False,3.53,False,3.22,False,2.93,False
OWLT,2026-06-01,5.49,4.16,2026-07-08,5.58,5.27,5.5,0.18,4.94,False,4.67,False,4.39,False,3.62,False,3.3,False,3.01,False
OWLT,2026-06-01,5.49,4.16,2026-07-09,5.58,5.55,5.91,7.65,4.94,False,4.67,False,4.39,False,3.56,False,3.24,False,2.95,False
OWLT,2026-06-01,5.49,4.16,2026-07-10,5.93,5.9,6.09,10.93,4.94,False,4.67,False,4.39,False,3.47,False,3.16,False,2.88,False
OWLT,2026-06-01,5.49,4.16,2026-07-13,6.04,5.9,6.4,16.58,4.94,False,4.67,False,4.39,False,3.47,False,3.16,False,2.88,False
OWLT,2026-06-01,5.49,4.16,2026-07-14,6.5,6.27,6.38,16.21,4.94,False,4.67,False,4.39,False,3.52,False,3.21,False,2.92,False
OWLT,2026-06-01,5.49,4.16,2026-07-15,6.5,6.0,6.13,11.66,4.94,False,4.67,False,4.39,False,3.53,False,3.21,False,2.93,False
OWLT,2026-06-01,5.49,4.16,2026-07-16,6.12,5.71,5.79,5.46,4.94,False,4.67,False,4.39,False,3.36,False,3.06,False,2.79,False
OWLT,2026-06-01,5.49,4.16,2026-07-17,5.64,5.51,5.6,2.0,4.94,False,4.67,False,4.39,False,3.53,False,3.21,False,2.93,False
