symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
SPY,2026-06-01,758.54,0.64,2026-06-02,757.03,756.75,759.57,0.14,682.69,False,644.76,False,606.83,False,687.78,False,678.0,False,668.35,False
SPY,2026-06-01,758.54,0.64,2026-06-03,758.15,753.57,754.24,-0.57,682.69,False,644.76,False,606.83,False,693.3,False,683.43,False,673.71,False
SPY,2026-06-01,758.54,0.64,2026-06-04,752.1,751.47,757.09,-0.19,682.69,False,644.76,False,606.83,False,702.94,False,692.93,False,683.07,False
SPY,2026-06-01,758.54,0.64,2026-06-05,752.31,735.53,737.55,-2.77,682.69,False,644.76,False,606.83,False,700.78,False,690.81,False,680.98,False
SPY,2026-06-01,758.54,0.64,2026-06-08,743.36,738.19,739.22,-2.55,682.69,False,644.76,False,606.83,False,706.57,False,696.51,False,686.6,False
SPY,2026-06-01,758.54,0.64,2026-06-09,743.63,722.59,737.05,-2.83,682.69,False,644.76,False,606.83,False,708.18,False,698.1,False,688.16,False
SPY,2026-06-01,758.54,0.64,2026-06-10,733.39,725.33,725.43,-4.36,682.69,False,644.76,False,606.83,False,707.11,False,697.04,False,687.12,False
SPY,2026-06-01,758.54,0.64,2026-06-11,728.76,724.41,737.76,-2.74,682.69,False,644.76,False,606.83,False,711.06,False,700.94,False,690.96,False
SPY,2026-06-01,758.54,0.64,2026-06-12,740.71,735.03,741.75,-2.21,682.69,False,644.76,False,606.83,False,716.68,False,706.47,False,696.42,False
SPY,2026-06-01,758.54,0.64,2026-06-15,751.85,751.76,754.83,-0.49,682.69,False,644.76,False,606.83,False,708.05,False,697.98,False,688.04,False
SPY,2026-06-01,758.54,0.64,2026-06-16,754.55,749.88,750.33,-1.08,682.69,False,644.76,False,606.83,False,707.56,False,697.49,False,687.56,False
SPY,2026-06-01,758.54,0.64,2026-06-17,751.29,739.22,740.96,-2.32,682.69,False,644.76,False,606.83,False,702.84,False,692.84,False,682.98,False
SPY,2026-06-01,758.54,0.64,2026-06-18,747.76,743.86,746.74,-1.56,682.69,False,644.76,False,606.83,False,710.05,False,699.94,False,689.98,False
SPY,2026-06-01,758.54,0.64,2026-06-22,747.7,743.13,744.39,-1.87,682.69,False,644.76,False,606.83,False,711.45,False,701.33,False,691.35,False
SPY,2026-06-01,758.54,0.64,2026-06-23,733.81,732.3,733.58,-3.29,682.69,False,644.76,False,606.83,False,714.25,False,704.09,False,694.06,False
SPY,2026-06-01,758.54,0.64,2026-06-24,735.17,730.84,733.24,-3.34,682.69,False,644.76,False,606.83,False,718.99,False,708.76,False,698.67,False
SPY,2026-06-01,758.54,0.64,2026-06-25,738.91,729.6,734.3,-3.2,682.69,False,644.76,False,606.83,False,718.87,False,708.64,False,698.55,False
SPY,2026-06-01,758.54,0.64,2026-06-26,728.95,716.58,728.99,-3.9,682.69,False,644.76,False,606.83,False,722.83,True,712.55,False,702.4,False
SPY,2026-06-01,758.54,0.64,2026-06-29,736.53,732.09,741.0,-2.31,682.69,False,644.76,False,606.83,False,724.64,False,714.32,False,704.15,False
SPY,2026-06-01,758.54,0.64,2026-06-30,741.29,740.89,746.77,-1.55,682.69,False,644.76,False,606.83,False,726.61,False,716.27,False,706.07,False
SPY,2026-06-01,758.54,0.64,2026-07-01,745.0,742.38,745.76,-1.68,682.69,False,644.76,False,606.83,False,727.6,False,717.24,False,707.03,False
SPY,2026-06-01,758.54,0.64,2026-07-02,747.4,740.03,744.78,-1.81,682.69,False,644.76,False,606.83,False,722.49,False,712.21,False,702.07,False
SPY,2026-06-01,758.54,0.64,2026-07-06,748.74,747.41,751.28,-0.96,682.69,False,644.76,False,606.83,False,725.22,False,714.9,False,704.72,False
SPY,2026-06-01,758.54,0.64,2026-07-07,750.22,745.21,747.71,-1.43,682.69,False,644.76,False,606.83,False,706.5,False,696.45,False,686.53,False
SPY,2026-06-01,758.54,0.64,2026-07-08,743.16,739.51,745.4,-1.73,682.69,False,644.76,False,606.83,False,708.1,False,698.02,False,688.09,False
SPY,2026-06-01,758.54,0.64,2026-07-09,747.35,745.59,751.71,-0.9,682.69,False,644.76,False,606.83,False,706.02,False,695.97,False,686.07,False
SPY,2026-06-01,758.54,0.64,2026-07-10,752.05,748.1,754.95,-0.47,682.69,False,644.76,False,606.83,False,694.89,False,685.0,False,675.25,False
SPY,2026-06-01,758.54,0.64,2026-07-13,752.47,748.0,749.17,-1.24,682.69,False,644.76,False,606.83,False,706.7,False,696.64,False,686.73,False
SPY,2026-06-01,758.54,0.64,2026-07-14,750.91,748.66,751.83,-0.88,682.69,False,644.76,False,606.83,False,710.53,False,700.41,False,690.44,False
SPY,2026-06-01,758.54,0.64,2026-07-15,754.24,750.2,754.81,-0.49,682.69,False,644.76,False,606.83,False,723.06,False,712.76,False,702.62,False
SPY,2026-06-01,758.54,0.64,2026-07-16,752.76,747.88,750.72,-1.03,682.69,False,644.76,False,606.83,False,718.74,False,708.51,False,698.43,False
SPY,2026-06-01,758.54,0.64,2026-07-17,742.08,740.8,743.29,-2.01,682.69,False,644.76,False,606.83,False,709.77,False,699.67,False,689.71,False
