symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
WHR,2026-06-01,42.44,2.17,2026-06-02,42.16,40.92,41.01,-3.37,38.2,False,36.07,False,33.95,False,45.88,True,43.71,True,41.64,True
WHR,2026-06-01,42.44,2.17,2026-06-03,40.66,40.34,40.71,-4.08,38.2,False,36.07,False,33.95,False,46.85,True,44.63,True,42.52,True
WHR,2026-06-01,42.44,2.17,2026-06-04,41.22,38.64,40.0,-5.75,38.2,False,36.07,False,33.95,False,47.32,True,45.08,True,42.94,True
WHR,2026-06-01,42.44,2.17,2026-06-05,40.16,38.96,39.47,-7.0,38.2,False,36.07,False,33.95,False,41.68,True,39.71,True,37.83,False
WHR,2026-06-01,42.44,2.17,2026-06-08,39.03,38.7,39.56,-6.79,38.2,False,36.07,False,33.95,False,38.87,True,37.03,False,35.28,False
WHR,2026-06-01,42.44,2.17,2026-06-09,39.94,39.57,41.44,-2.36,38.2,False,36.07,False,33.95,False,35.52,False,33.83,False,32.23,False
WHR,2026-06-01,42.44,2.17,2026-06-10,41.35,40.08,40.11,-5.49,38.2,False,36.07,False,33.95,False,35.7,False,34.01,False,32.4,False
WHR,2026-06-01,42.44,2.17,2026-06-11,40.63,39.83,42.41,-0.07,38.2,False,36.07,False,33.95,False,36.11,False,34.4,False,32.77,False
WHR,2026-06-01,42.44,2.17,2026-06-12,42.73,41.9,42.89,1.06,38.2,False,36.07,False,33.95,False,36.77,False,35.03,False,33.37,False
WHR,2026-06-01,42.44,2.17,2026-06-15,43.95,41.66,41.86,-1.37,38.2,False,36.07,False,33.95,False,34.57,False,32.94,False,31.38,False
WHR,2026-06-01,42.44,2.17,2026-06-16,41.56,38.77,40.11,-5.49,38.2,False,36.07,False,33.95,False,34.12,False,32.51,False,30.97,False
WHR,2026-06-01,42.44,2.17,2026-06-17,39.81,38.47,38.64,-8.95,38.2,False,36.07,False,33.95,False,35.24,False,33.57,False,31.98,False
WHR,2026-06-01,42.44,2.17,2026-06-18,39.0,38.2,38.86,-8.44,38.2,False,36.07,False,33.95,False,35.89,False,34.19,False,32.57,False
WHR,2026-06-01,42.44,2.17,2026-06-22,38.06,36.4,36.57,-13.83,38.2,True,36.07,False,33.95,False,37.36,True,35.59,False,33.9,False
WHR,2026-06-01,42.44,2.17,2026-06-23,36.25,36.06,36.19,-14.73,38.2,True,36.07,True,33.95,False,36.89,True,35.14,False,33.48,False
WHR,2026-06-01,42.44,2.17,2026-06-24,36.65,36.65,37.86,-10.79,38.2,True,36.07,False,33.95,False,36.88,True,35.14,False,33.47,False
WHR,2026-06-01,42.44,2.17,2026-06-25,38.08,37.05,37.74,-11.07,38.2,True,36.07,False,33.95,False,38.35,True,36.54,False,34.81,False
WHR,2026-06-01,42.44,2.17,2026-06-26,37.73,37.65,38.98,-8.15,38.2,True,36.07,False,33.95,False,38.1,True,36.3,False,34.58,False
WHR,2026-06-01,42.44,2.17,2026-06-29,38.82,37.19,38.0,-10.46,38.2,True,36.07,False,33.95,False,37.54,True,35.76,False,34.07,False
WHR,2026-06-01,42.44,2.17,2026-06-30,38.01,37.33,39.42,-7.12,38.2,True,36.07,False,33.95,False,36.69,False,34.95,False,33.3,False
WHR,2026-06-01,42.44,2.17,2026-07-01,39.47,39.16,40.17,-5.35,38.2,False,36.07,False,33.95,False,35.46,False,33.78,False,32.18,False
WHR,2026-06-01,42.44,2.17,2026-07-02,40.47,38.03,38.1,-10.23,38.2,True,36.07,False,33.95,False,35.2,False,33.53,False,31.94,False
WHR,2026-06-01,42.44,2.17,2026-07-06,38.1,36.93,38.04,-10.37,38.2,True,36.07,False,33.95,False,34.58,False,32.94,False,31.38,False
WHR,2026-06-01,42.44,2.17,2026-07-07,38.61,36.8,37.12,-12.54,38.2,True,36.07,False,33.95,False,34.12,False,32.51,False,30.97,False
WHR,2026-06-01,42.44,2.17,2026-07-08,37.0,36.01,37.67,-11.24,38.2,True,36.07,True,33.95,False,34.2,False,32.58,False,31.04,False
WHR,2026-06-01,42.44,2.17,2026-07-09,37.51,36.88,37.86,-10.79,38.2,True,36.07,False,33.95,False,35.83,False,34.13,False,32.51,False
WHR,2026-06-01,42.44,2.17,2026-07-10,37.79,37.78,40.72,-4.05,38.2,True,36.07,False,33.95,False,34.68,False,33.04,False,31.47,False
WHR,2026-06-01,42.44,2.17,2026-07-13,40.72,38.76,38.85,-8.46,38.2,False,36.07,False,33.95,False,36.67,False,34.93,False,33.28,False
WHR,2026-06-01,42.44,2.17,2026-07-14,39.29,37.94,38.65,-8.93,38.2,True,36.07,False,33.95,False,37.08,False,35.32,False,33.65,False
WHR,2026-06-01,42.44,2.17,2026-07-15,38.63,38.37,38.58,-9.1,38.2,False,36.07,False,33.95,False,36.19,False,34.48,False,32.84,False
WHR,2026-06-01,42.44,2.17,2026-07-16,38.7,38.67,39.89,-6.01,38.2,False,36.07,False,33.95,False,34.68,False,33.04,False,31.47,False
WHR,2026-06-01,42.44,2.17,2026-07-17,39.59,38.01,38.24,-9.9,38.2,True,36.07,False,33.95,False,33.41,False,31.82,False,30.32,False
