symbol,anchor date,anchor close,sigma (%),date,open,low,close,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5
CABO,2026-07-01,53.26,4.14,2026-07-02,53.3,46.46,48.91,-8.17,47.93,True,45.27,False,42.61,False,36.42,False,33.2,False,30.27,False
CABO,2026-07-01,53.26,4.14,2026-07-06,48.99,45.5,46.96,-11.83,47.93,True,45.27,False,42.61,False,35.24,False,32.13,False,29.29,False
CABO,2026-07-01,53.26,4.14,2026-07-07,46.86,42.58,42.63,-19.96,47.93,True,45.27,True,42.61,True,33.2,False,30.27,False,27.6,False
CABO,2026-07-01,53.26,4.14,2026-07-08,41.58,40.23,40.87,-23.26,47.93,True,45.27,True,42.61,True,32.13,False,29.29,False,26.7,False
CABO,2026-07-01,53.26,4.14,2026-07-09,40.36,33.38,35.27,-33.78,47.93,True,45.27,True,42.61,True,31.8,False,28.99,False,26.43,False
CABO,2026-07-01,53.26,4.14,2026-07-10,34.7,34.7,36.19,-32.05,47.93,True,45.27,True,42.61,True,32.64,False,29.75,False,27.13,False
CABO,2026-07-01,53.26,4.14,2026-07-13,36.79,36.64,37.93,-28.78,47.93,True,45.27,True,42.61,True,31.5,False,28.72,False,26.18,False
CABO,2026-07-01,53.26,4.14,2026-07-14,39.99,39.21,43.01,-19.25,47.93,True,45.27,True,42.61,True,35.61,False,32.47,False,29.6,False
CABO,2026-07-01,53.26,4.14,2026-07-15,42.0,39.88,40.1,-24.71,47.93,True,45.27,True,42.61,True,35.21,False,32.1,False,29.26,False
CABO,2026-07-01,53.26,4.14,2026-07-16,39.92,39.92,41.49,-22.1,47.93,True,45.27,True,42.61,True,35.86,False,32.7,False,29.81,False
CABO,2026-07-01,53.26,4.14,2026-07-17,41.71,38.71,39.3,-26.21,47.93,True,45.27,True,42.61,True,32.64,False,29.75,False,27.13,False
