symbol,sigma (%),date,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5,open,low,close,volume
CZR,2.42,2025-06-13,-6.03,24.48,,23.12,,21.76,,25.77,True,24.42,,23.13,,26.85,25.39,25.56,6901311
CZR,2.42,2025-08-07,-11.25,24.48,True,23.12,,21.76,,26.79,True,25.38,True,24.05,True,25.1,23.94,24.14,7392800
CZR,2.42,2025-08-08,-11.62,24.48,True,23.12,,21.76,,25.53,True,24.19,True,22.92,,24.14,23.9,24.04,7491471
CZR,2.42,2025-08-13,-5.37,24.48,True,23.12,,21.76,,25.51,True,24.17,,22.89,,24.57,24.4,25.74,7183300
CZR,2.42,2025-10-08,-14.04,24.48,True,23.12,,21.76,,21.79,,20.65,,19.56,,24.65,23.33,23.38,11490035
CZR,2.42,2025-10-09,-15.44,24.48,True,23.12,True,21.76,,22.02,,20.86,,19.76,,23.3,22.83,23.0,8984200
CZR,2.42,2025-10-13,-19.01,24.48,True,23.12,True,21.76,,22.02,True,20.86,,19.76,,22.2,21.98,22.03,7516800
CZR,2.42,2025-10-14,-18.6,24.48,True,23.12,True,21.76,True,21.75,True,20.61,,19.52,,21.63,21.48,22.14,6148700
CZR,2.42,2025-10-27,-17.1,24.48,True,23.12,True,21.76,,23.7,True,22.45,True,21.27,,22.48,21.82,22.55,5975622
CZR,2.42,2025-10-28,-18.79,24.48,True,23.12,True,21.76,True,22.98,True,21.77,True,20.63,,22.17,21.67,22.09,9747000
CZR,2.42,2025-10-29,-31.14,24.48,True,23.12,True,21.76,True,22.06,True,20.9,True,19.8,True,20.39,18.64,18.73,26139600
CZR,2.42,2025-11-07,-27.13,24.48,True,23.12,True,21.76,True,18.59,,17.61,,16.68,,18.76,18.76,19.82,7779300
FMC,1.81,2025-07-31,1.53,34.61,,32.68,,30.76,,39.36,True,37.8,True,36.3,,42.47,37.55,39.04,4617817
FMC,1.81,2025-08-04,-1.92,34.61,,32.68,,30.76,,38.25,True,36.73,,35.27,,38.2,37.6,37.71,1939249
FMC,1.81,2025-09-24,-10.95,34.61,True,32.68,,30.76,,35.02,True,33.63,,32.3,,34.8,34.17,34.24,2195135
FMC,1.81,2025-09-25,-13.78,34.61,True,32.68,,30.76,,35.19,True,33.8,True,32.45,,34.16,32.99,33.15,2556400
FMC,1.81,2025-09-30,-12.54,34.61,True,32.68,True,30.76,,34.07,True,32.72,True,31.42,,33.13,32.68,33.63,1856389
FMC,1.81,2025-10-01,-17.56,34.61,True,32.68,True,30.76,,32.82,True,31.52,,30.27,,33.35,31.65,31.7,3840946
FMC,1.81,2025-10-08,-21.09,34.61,True,32.68,True,30.76,True,32.65,True,31.36,True,30.11,,31.27,30.15,30.34,3337502
FMC,1.81,2025-10-09,-22.29,34.61,True,32.68,True,30.76,True,33.83,True,32.49,True,31.2,True,30.84,29.84,29.88,2793000
FMC,1.81,2025-10-22,-22.86,34.61,True,32.68,True,30.76,True,30.32,True,29.12,,27.96,,29.62,29.52,29.66,1644150
FMC,1.81,2025-10-23,-21.2,34.61,True,32.68,True,30.76,True,29.36,,28.19,,27.07,,30.21,29.85,30.3,1539265
JELD,2.67,2025-05-06,-24.73,5.02,True,4.74,True,4.46,True,4.6,True,4.33,True,4.08,True,4.32,4.05,4.2,6160038
JELD,2.67,2025-05-07,-27.6,5.02,True,4.74,True,4.46,True,4.27,True,4.02,True,3.79,,4.25,4.01,4.04,4785000
JELD,2.67,2025-05-12,-21.86,5.02,True,4.74,True,4.46,True,4.38,True,4.13,,3.89,,4.39,4.26,4.36,2143326
JELD,2.67,2025-05-13,-20.43,5.02,True,4.74,True,4.46,True,4.32,,4.07,,3.84,,4.4,4.33,4.44,2421600
JELD,2.67,2025-07-10,-16.67,5.02,True,4.74,True,4.46,,3.39,,3.19,,3.0,,4.5,4.49,4.65,1963100
JELD,2.67,2025-07-23,-8.78,5.02,True,4.74,,4.46,,3.32,,3.13,,2.95,,4.94,4.94,5.09,1673523
JELD,2.67,2025-09-23,-5.2,5.02,,4.74,,4.46,,5.33,True,5.02,,4.73,,5.47,5.22,5.29,995543
JELD,2.67,2025-09-29,-11.47,5.02,True,4.74,,4.46,,5.34,True,5.03,True,4.74,,5.07,4.82,4.94,1056278
JELD,2.67,2025-10-01,-12.01,5.02,True,4.74,True,4.46,,5.09,True,4.8,True,4.52,,4.82,4.72,4.91,1176640
JELD,2.67,2025-10-02,-13.44,5.02,True,4.74,,4.46,,5.4,True,5.09,True,4.79,True,4.91,4.76,4.83,1010813
JELD,2.67,2025-10-06,-15.95,5.02,True,4.74,True,4.46,,5.42,True,5.1,True,4.81,True,4.93,4.68,4.69,989500
JELD,2.67,2025-10-17,-17.74,5.02,True,4.74,True,4.46,,4.63,True,4.36,,4.11,,4.61,4.5,4.59,696722
LE,3.04,2026-03-13,63.59,7.61,,7.19,,6.77,,14.34,True,13.4,,12.52,,15.31,13.8,13.84,991546
LE,3.04,2026-03-16,60.05,7.61,,7.19,,6.77,,14.92,True,13.94,True,13.02,,14.18,13.5,13.54,441300
LE,3.04,2026-03-19,62.17,7.61,,7.19,,6.77,,15.36,True,14.35,True,13.41,True,12.87,12.22,13.72,959963
LUMN,3.96,2025-08-01,5.4,3.17,,2.99,,2.82,,3.53,True,3.23,,2.95,,4.02,3.37,3.71,44714940
LUMN,3.96,2026-07-01,103.12,3.17,,2.99,,2.82,,8.1,True,7.41,True,6.78,,7.55,7.13,7.15,13703716
