Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-04-22,2026-02-06,2025-10-21,2025-07-17,2025-04-22,2025-02-20,2024-10-17,2024-07-17,2024-04-18,2024-02-21,2023-10-18,2023-07-19,2023-04-19,2023-02-15,2022-10-19,2022-07-20,2022-04-20
Revenue & Margin,Segment-1,-,Health Benefits Segment,-,-,-,Health Benefits Segment,-,-,-,Health Benefits Segment,-,-,-,Government Business Segment,-,-,-
Revenue & Margin,Segment-1 %,-,84.8%,-,-,-,73.6%,-,-,-,60.7%,-,-,-,68.1%,-,-,-
Revenue & Margin,Segment-2,-,Carelon Services Segment,-,-,-,Carelon Services Segment,-,-,-,Carelon Services Segment,-,-,-,Commercial Specialty Business Segment,-,-,-
Revenue & Margin,Segment-2 %,-,36.4%,-,-,-,26.4%,-,-,-,39.2%,-,-,-,29.3%,-,-,-
Revenue & Margin,Segment-3,-,Segment Eliminations,-,-,-,-,-,-,-,Other Segment,-,-,-,IngenioRx Segment,-,-,-
Revenue & Margin,Segment-3 %,-,-21.1%,-,-,-,-,-,-,-,0.2%,-,-,-,10.5%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,Segment Eliminations,-,-,-,"Other Segment, Segment Eliminations",-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-0.1%,-,-,-,-8.0%,-,-,-
