Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-04-23,2026-02-10,2025-10-23,2025-07-24,2025-04-24,2025-02-11,2024-10-24,2024-07-25,2024-04-25,2023-12-31,2023-10-26,2023-07-27,2023-04-27,2023-02-13,2022-10-27,2022-07-28,2022-04-28
Revenue & Margin,Segment-1,-,Medicaid Solutions Segment,-,-,-,Medicaid Solutions Segment,-,-,-,-,-,-,-,Medicaid Solutions Segment,-,-,-
Revenue & Margin,Segment-1 %,-,74.7%,-,-,-,79.0%,-,-,-,-,-,-,-,80.6%,-,-,-
Revenue & Margin,Segment-2,-,Medicare,-,-,-,Medicare,-,-,-,-,-,-,-,Medicare,-,-,-
Revenue & Margin,Segment-2 %,-,14.5%,-,-,-,14.3%,-,-,-,-,-,-,-,12.0%,-,-,-
Revenue & Margin,Segment-3,-,Marketplace,-,-,-,Marketplace,-,-,-,-,-,-,-,Marketplace,-,-,-
Revenue & Margin,Segment-3 %,-,10.4%,-,-,-,6.5%,-,-,-,-,-,-,-,7.2%,-,-,-
Revenue & Margin,Others,-,Other Segments,-,-,-,Other Segments,-,-,-,-,-,-,-,Other Segments,-,-,-
Revenue & Margin,Others %,-,0.4%,-,-,-,0.2%,-,-,-,-,-,-,-,0.2%,-,-,-
