Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30
Header,Filing Date,2026-05-06,2026-03-02,2025-10-24,2025-08-08,2025-05-07,2025-02-27,2024-11-06,2024-08-07,2024-05-09,2024-03-13,2023-11-06,2023-08-04,2023-05-15,2023-04-04,2022-11-22,2022-08-22
Revenue & Margin,Segment-1,-,-,-,-,-,Equipment Sales,-,-,-,Digital Asset Mining Service,-,-,-,Digital Asset Mining Service,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,81.7%,-,-,-,45.4%,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,Hosting Service,-,-,-,Hosting Service,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,18.3%,-,-,-,19.3%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hosting Service, Customers",-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,14.8%,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,"Equipment Sales, Related Parties, Equipment Sales, Hosting Service, Related Parties, Equipment Sales, Customers",-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,20.5%,-,-
Revenue & Margin,Revenue Total ($k),"354,738","319,019","334,181","348,432","410,906","510,672","557,676","575,226","561,036","502,400","481,721","531,389","568,449","640,313","820,858","771,425"
