Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2024-01-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-06,2026-02-25,2025-11-04,2025-08-07,2025-05-08,2025-03-03,2024-11-13,2024-08-13,2024-05-15,2024-01-19,2023-12-19,2023-06-30,2023-03-31,2023-03-09,2022-09-30,2022-06-30,2022-05-12
Revenue & Margin,Segment-1,-,"High Performance Computing, Colocation And Cloud",-,-,-,"High Performance Computing, Colocation And Cloud",-,-,-,-,-,-,-,Digital assets mined,-,-,-
Revenue & Margin,Segment-1 %,-,86.1%,-,-,-,47.1%,-,-,-,-,-,-,-,99.4%,-,-,-
Revenue & Margin,Segment-2,-,Power,-,-,-,Power,-,-,-,-,-,-,-,Hosting fees,-,-,-
Revenue & Margin,Segment-2 %,-,9.9%,-,-,-,33.0%,-,-,-,-,-,-,-,0.6%,-,-,-
Revenue & Margin,Segment-3,-,Digital Infrastructure,-,-,-,Digital Infrastructure,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,4.1%,-,-,-,14.9%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,"Service, Other",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,5.0%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"-40,963","-90,165","563,070","446,700","368,774","398,700","87,585","65,553","117,678","81,584","65,957","79,331","95,813","99,166","109,604","79,185","80,754"
Revenue & Margin,Rev-CoGS / Rev,379.92%,219.53%,83.47%,82.47%,79.07%,78.27%,6.91%,-18.22%,43.99%,43.28%,41.10%,44.88%,50.99%,53.60%,61.21%,67.44%,61.69%
Revenue & Margin,Rev-CoGS-SG&A / Rev,827.85%,355.73%,66.43%,63.16%,59.01%,59.98%,-83.52%,-120.73%,-1.25%,-5.27%,9.53%,16.50%,21.52%,25.99%,29.40%,27.88%,26.22%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,602.02%,354.40%,70.37%,71.76%,12.47%,115.51%,213.32%,286.39%,233.80%,7.93%,-59.89%,-44.20%,-56.64%,-58.43%,-19.37%,-31.98%,3.84%
Revenue & Margin,Net Income / Rev,761.93%,250.82%,36.54%,34.99%,-14.34%,83.24%,214.22%,278.56%,215.16%,24.08%,-104.63%,-82.18%,-93.11%,-111.58%,-29.02%,-40.16%,-13.07%
EBITDA,Net Income ($k),"-312,109","-226,149","205,757","156,295","-52,883","331,882","187,624","182,603","253,197","19,649","-69,012","-65,198","-89,212","-110,653","-31,803","-31,803","-10,556"
EBITDA,D & A ($k),"128,126","104,513","79,033","61,447","57,115","53,391","44,337","37,985","29,507","28,759","51,868","73,022","86,970","94,528","74,839","54,349","36,079"
