Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-05-31,2026-01-31,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30
Header,Filing Date,2026-06-04,2026-03-05,2025-12-12,2025-09-04,2025-06-05,2025-03-12,2024-12-20,2024-09-04,2024-06-06,2024-03-07,2023-12-15,2023-09-06,2023-06-07,2023-03-08,2022-12-16,2022-09-07,2022-06-08
Revenue & Margin,Segment-1,-,-,-,-,-,-,Networking Platforms Segment,-,-,-,Networking Platforms Segment,-,-,-,Product,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,75.8%,-,-,-,79.6%,-,-,-,79.5%,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,Global Services,-,-,-,Global Services,-,-,-,Service,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,13.4%,-,-,-,11.9%,-,-,-,20.5%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,Platform Software and Services Segment,-,-,-,Platform Software and Services Segment,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,8.9%,-,-,-,6.9%,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,Blue Planet Automation Software and Services Segment,-,-,-,Blue Planet Automation Software and Services Segment,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,1.9%,-,-,-,1.6%,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"5,569,150","5,124,289","4,769,507","4,541,635","4,264,558","4,080,988","4,046,437","4,051,812","4,177,390","4,367,737","4,386,549","4,228,072","4,028,167","3,844,739","3,632,661","3,703,137","3,823,297"
Revenue & Margin,Rev-CoGS / Rev,43.05%,42.13%,42.04%,41.57%,41.94%,42.63%,42.87%,43.47%,43.24%,43.27%,42.83%,43.19%,42.65%,42.45%,42.95%,43.31%,45.45%
Revenue & Margin,Rev-CoGS-SG&A / Rev,27.74%,25.78%,24.84%,24.14%,24.08%,24.37%,24.65%,25.45%,26.05%,26.92%,26.74%,26.91%,26.07%,25.35%,25.17%,25.63%,27.88%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,11.18%,8.19%,6.52%,5.54%,4.76%,4.78%,4.88%,5.66%,6.72%,8.17%,8.15%,8.12%,7.26%,6.45%,6.13%,7.64%,10.58%
Revenue & Margin,Net Income / Rev,7.87%,4.47%,2.59%,3.10%,2.46%,2.70%,2.84%,4.18%,4.42%,5.22%,5.81%,5.23%,5.02%,4.77%,4.21%,5.37%,11.15%
