Category,Metric,APO,BX,CG,KKR,OWL
Header,Fiscal Period,2026-Q1,2026-Q1,2026-Q1,2026-Q1,2026-Q1
Header,Statement Date,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31
Header,Filing Date,2026-05-07,2026-05-08,2026-05-08,2026-05-08,2026-05-01
Revenue & Margin,Segment-1,Retirement Services Segment,Private Equity Segment,Fund Management Fee,Insurance Segment,Asset Management
Revenue & Margin,Segment-1 %,84.4%,77.3%,57.0%,49.3%,80.9%
Revenue & Margin,Segment-2,Asset Management Segment,Real Estate Segment,Performance Allocations,Asset Management And Strategic Holdings Segments,Administrative Service
Revenue & Margin,Segment-2 %,15.6%,22.7%,28.8%,33.3%,11.9%
Revenue & Margin,Segment-3,-,Hedge Fund Solutions Segment,"Segment Reporting, Reconciling Item, Excluding Corporate Nonsegment",Asset Management Segment,Net Lease
Revenue & Margin,Segment-3 %,-,12.9%,6.8%,17.4%,6.8%
Revenue & Margin,Others,-,-,"Incentive Fee, Principal Investment Income (Loss)",-,"Management Service, Incentive"
Revenue & Margin,Others %,-,-,7.4%,-,0.3%
Revenue & Margin,Revenue Total ($k),"29,683,000","14,986,693","3,989,100","19,990,094","2,940,503"
Revenue & Margin,Rev-CoGS / Rev,89.33%,87.51%,73.08%,41.75%,64.44%
Revenue & Margin,Rev-CoGS-SG&A / Rev,78.35%,79.49%,63.40%,33.94%,39.24%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,31.05%,48.83%,22.21%,16.29%,22.40%
Revenue & Margin,Net Income / Rev,7.24%,20.38%,13.70%,14.82%,2.96%
EBITDA,Net Income ($k),"2,150,000","3,054,091","546,500","2,961,616","86,945"
EBITDA,D & A ($k),"1,520,000","36,083","195,700","39,355","378,286"
EBITDA,Net Interest Expense ($k),"-4,789,000","100,639","-772,400","-2,290,724","123,393"
EBITDA,Tax Provision ($k),"2,252,000","1,078,346","165,000","1,052,564","54,992"
EBITDA,EBITDA ($k),"1,133,000","4,269,159","134,800","1,762,811","643,616"
EBITDA,Stock-Based Comp ($k),"854,000","-184,268",0,"507,915","699,370"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,111.42,114.99,48.39,92.50,9.13
Capital Structure,O/S Shares,"595,000,000","783,356,354","359,200,000","891,145,378","680,422,783"
Capital Structure,Market Capitalization ($k),"66,294,900","90,078,147","17,381,688","82,430,947","14,336,654"
Capital Structure,Cash ($k),"23,450,000","2,448,485","2,754,200","9,315,111","190,457"
Capital Structure,Debt ($k),"14,220,000","14,161,851","14,617,100","54,845,741","4,356,518"
Capital Structure,Enterprise Value ($k),"57,064,900","101,791,513","29,244,588","127,961,577","18,502,715"
Capital Structure,netCommonStockIssuance ($k),"-632,000","-66,347","-204,800","-191,308","-25,000"
Capital Structure,netDebtIssuance ($k),"1,727,000","852,314","589,700","650,475","500,000"
Liquidity & Cash Flow,DSO,129.8,3.5,72.5,971.5,86.1
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,353.3,151.5,0.0,97.8,28.2
Liquidity & Cash Flow,CCC,-223.5,-148.0,72.5,873.8,57.9
Liquidity & Cash Flow,OCF ($k),"6,004,000","3,474,055","-807,000","7,060,068","1,341,254"
Liquidity & Cash Flow,CapEx ($k),0,"-119,834","-110,800","-167,343","-58,233"
Liquidity & Cash Flow,FCF ($k),"6,004,000","3,354,221","-917,800","6,892,725","1,283,021"
BQR-Mid-Mkt,Total Debt / Equity,0.7x,1.7x,2.7x,1.8x,2.1x
BQR,Total Debt / Adj Ebitda,12.6x,3.3x,108.4x,31.1x,6.8x
BQR,Adj Ebitda / Interest Expense,-999.0x,42.4x,-999.0x,-999.0x,5.2x
BQR,Net Income before extraordinary ($k),"2,150,000","3,054,091","546,500","2,961,616","86,945"
BQR,(NCO-CAPEX) / Total Debt,42.22%,23.68%,-6.28%,12.57%,29.45%
BQR,Score: Operating Leverage,75,48,75,75,75
BQR,Score: ICR,75,15,75,75,48
BQR,Score: Net Income,25,25,35,25,42
BQR,Score: FCF/Debt,25,42,75,55,42
BQR,BQR,50.0,35.8,65.0,57.5,54.5
