Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1
Header,Statement Date,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Header,Filing Date,2025-04-30,2025-02-19,2024-11-06,2024-07-31,2024-05-01,2024-02-21,2023-11-01,2023-08-02,2023-05-03,2023-02-22,2022-11-02,2022-08-03,2022-05-04,2022-02-23,2021-11-03,2021-08-04,2021-05-05
Revenue & Margin,Segment-1,-,Service,-,-,-,Service,-,-,-,Service,-,-,-,Service,-,-,-
Revenue & Margin,Segment-1 %,-,50.3%,-,-,-,52.0%,-,-,-,52.1%,-,-,-,50.4%,-,-,-
Revenue & Margin,Segment-2,-,Lease License Revenue,-,-,-,Lease License Revenue,-,-,-,Lease License Revenue,-,-,-,Lease License Revenue,-,-,-
Revenue & Margin,Segment-2 %,-,37.3%,-,-,-,34.6%,-,-,-,33.3%,-,-,-,32.4%,-,-,-
Revenue & Margin,Segment-3,-,Perpetual License Revenue,-,-,-,Perpetual License Revenue,-,-,-,Perpetual License Revenue,-,-,-,Perpetual License Revenue,-,-,-
Revenue & Margin,Segment-3 %,-,12.4%,-,-,-,13.3%,-,-,-,14.6%,-,-,-,17.2%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"2,583,095","2,544,809","2,467,743","2,324,646","2,227,107","2,269,949","2,158,956","2,172,672","2,149,923","2,065,553","2,027,105","1,995,762","1,968,566","1,906,715","1,874,734","1,800,531","1,739,538"
Revenue & Margin,Rev-CoGS / Rev,88.78%,88.76%,88.52%,87.98%,87.77%,88.05%,87.83%,88.06%,88.21%,87.87%,87.26%,87.02%,86.76%,86.47%,86.30%,86.25%,86.36%
Revenue & Margin,Rev-CoGS-SG&A / Rev,50.31%,50.14%,50.48%,49.25%,47.98%,50.38%,48.80%,50.16%,51.38%,50.45%,49.83%,49.50%,49.22%,48.95%,50.67%,50.98%,51.67%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,28.87%,28.70%,28.68%,26.50%,24.33%,27.58%,25.63%,27.93%,29.73%,28.69%,28.19%,27.84%,27.66%,26.92%,28.47%,28.67%,29.45%
Revenue & Margin,Net Income / Rev,22.95%,22.62%,23.01%,21.30%,19.51%,22.05%,22.40%,24.12%,25.74%,25.35%,23.13%,22.96%,23.02%,23.84%,24.91%,25.40%,26.46%
EBITDA,Net Income ($k),"592,779","575,692","567,766","495,076","434,568","500,412","483,597","524,070","553,344","523,710","468,934","458,301","453,217","454,627","467,088","457,373","460,221"
EBITDA,D & A ($k),"144,597","142,672","140,816","138,904","135,916","132,504","127,340","121,684","117,607","114,563","112,606","110,733","108,865","106,867","124,549","119,036","112,626"
EBITDA,Net Interest Expense ($k),"-11,222","-3,282","5,782","14,123","22,251","27,557","27,687","25,067","21,249","17,009","13,804","11,459","9,969","10,327","9,884","8,581","7,837"
EBITDA,Tax Provision ($k),"148,830","142,346","115,751","89,731","77,690","91,726","40,180","55,143","64,780","51,605","84,943","81,493","92,543","60,727","71,165","67,126","48,003"
EBITDA,EBITDA ($k),"874,984","857,428","830,115","737,834","670,425","752,199","678,804","725,964","756,980","706,887","680,287","661,986","664,594","632,548","672,686","652,116","628,687"
EBITDA,Stock-Based Comp ($k),"282,479","270,900","261,242","246,973","236,384","221,891","204,542","193,451","176,648","168,128","166,309","163,483","166,870","166,338","164,507","158,548","149,793"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,316.56,337.33,318.63,321.16,347.48,362.88,297.55,330.27,332.80,241.59,221.70,239.29,317.65,401.12,340.45,347.06,339.56
Capital Structure,O/S Shares,"87,455,000","87,455,000","87,399,000","87,332,000","87,067,000","86,888,000","86,817,000","86,696,000","86,930,000","87,017,000","87,063,000","87,001,000","87,122,000","87,186,000","87,239,000","87,168,000","86,808,000"
Capital Structure,Market Capitalization ($k),"27,684,755","29,501,195","27,847,943","28,047,545","30,254,041","31,529,917","25,832,398","28,633,088","28,930,304","21,022,437","19,301,867","20,818,469","27,674,303","34,972,048","29,700,518","30,252,526","29,476,524"
Capital Structure,Cash ($k),"1,758,155","1,446,743","1,246,057","1,098,958","1,050,509","860,201","639,342","477,875","507,689","614,391","632,509","517,303","657,421","667,667","1,080,838","957,704","987,427"
Capital Structure,Debt ($k),"836,086","841,144","842,958","870,152","849,290","854,396","753,812","753,732","753,653","753,574","863,201","864,759","867,938","753,576","856,293","861,534","907,657"
Capital Structure,Enterprise Value ($k),"26,762,686","28,895,596","27,444,844","27,818,739","30,052,822","31,524,112","25,946,868","28,908,945","29,176,268","21,161,620","19,532,559","21,165,925","27,884,820","35,057,957","29,475,973","30,156,356","29,396,754"
Capital Structure,netCommonStockIssuance ($k),0,0,0,0,0,0,0,0,"-196,494","-50,000",0,0,"-155,571","-98,686","-35,993","-4,648",0
Capital Structure,netDebtIssuance ($k),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-45,000",0
Liquidity & Cash Flow,DSO,145.4,143.7,143.2,146.4,151.8,148.0,149.6,145.2,140.9,142.6,141.7,137.6,133.2,131.2,125.8,128.2,127.2
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,-18.3,-36.9,-58.3,-78.0,-59.3,-41.2,-18.6,-18.5,-18.5,-18.4,-18.5,-15.9,-16.5,-17.2
Liquidity & Cash Flow,DPO,28.6,30.7,29.7,29.5,26.7,24.8,22.6,23.7,25.4,23.9,22.1,20.4,17.6,17.7,20.6,20.6,21.8
Liquidity & Cash Flow,CCC,116.8,112.9,113.5,98.6,88.3,64.9,49.0,62.1,74.2,100.0,101.0,98.7,97.3,95.0,89.4,91.1,88.1
Liquidity & Cash Flow,OCF ($k),"911,858","795,740","770,489","757,020","739,173","717,122","658,372","624,755","680,833","631,003","558,684","589,378","589,311","549,482","621,596","558,290","571,005"
Liquidity & Cash Flow,CapEx ($k),"-44,993","-44,045","-41,038","-37,117","-28,969","-25,318","-25,684","-26,348","-26,200","-24,370","-20,112","-22,242","-23,035","-23,018","-29,308","-29,238","-33,428"
Liquidity & Cash Flow,FCF ($k),"866,865","751,695","729,451","719,903","710,204","691,804","632,688","598,407","654,633","606,633","538,572","567,136","566,276","526,464","592,288","529,052","537,577"
BQR-Mid-Mkt,Total Debt / Equity,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
BQR,Total Debt / Adj Ebitda,1.0x,1.0x,1.0x,1.2x,1.3x,1.1x,1.1x,1.0x,1.0x,1.1x,1.3x,1.3x,1.3x,1.2x,1.3x,1.3x,1.4x
BQR,Adj Ebitda / Interest Expense,-999.0x,-999.0x,143.6x,52.2x,30.1x,27.3x,24.5x,29.0x,35.6x,41.6x,49.3x,57.8x,66.7x,61.3x,68.1x,76.0x,80.2x
BQR,Net Income before extraordinary ($k),"592,779","575,692","567,766","495,076","434,568","500,412","483,597","524,070","553,344","523,710","468,934","458,301","453,217","454,627","467,088","457,373","460,221"
BQR,(NCO-CAPEX) / Total Debt,103.68%,89.37%,86.53%,82.73%,83.62%,80.97%,83.93%,79.39%,86.86%,80.50%,62.39%,65.58%,65.24%,69.86%,69.17%,61.41%,59.23%
BQR,Score: Operating Leverage,25,25,35,35,35,35,35,35,25,35,35,35,35,35,35,35,35
BQR,Score: ICR,75,75,15,15,15,25,25,25,15,15,15,15,15,15,15,15,15
BQR,Score: Net Income,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
