Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2026-Q4,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Header,Filing Date,2026-05-06,2026-02-04,2025-11-05,2025-07-30,2025-05-28,2025-02-05,2024-11-07,2024-08-01,2024-05-29,2024-02-08,2023-11-09,2023-06-30,2023-03-31
Revenue & Margin,Segment-1,Royalty,-,-,-,Royalty,-,-,-,Royalty,-,-,-,-
Revenue & Margin,Segment-1 %,53.1%,-,-,-,54.1%,-,-,-,55.7%,-,-,-,-
Revenue & Margin,Segment-2,License And Other Revenue,-,-,-,License And Other Revenue,-,-,-,License And Other Revenue,-,-,-,-
Revenue & Margin,Segment-2 %,46.9%,-,-,-,45.9%,-,-,-,44.3%,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"4,920,000","4,671,000","4,412,000","4,121,000","4,007,000","3,694,000","3,535,000","3,497,000","3,233,000","2,938,000","2,838,000","2,662,000","2,679,000"
Revenue & Margin,Rev-CoGS / Rev,94.63%,95.43%,95.63%,94.71%,94.70%,94.04%,93.62%,93.19%,92.73%,92.44%,92.40%,92.61%,92.87%
Revenue & Margin,Rev-CoGS-SG&A / Rev,74.39%,74.46%,74.32%,72.70%,72.42%,69.06%,68.32%,66.17%,64.80%,62.01%,62.79%,65.55%,67.60%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,18.31%,18.65%,19.38%,18.35%,20.74%,11.94%,11.49%,5.32%,3.56%,1.57%,5.36%,18.52%,25.31%
Revenue & Margin,Net Income / Rev,18.37%,17.15%,18.81%,16.96%,19.77%,21.82%,18.13%,12.12%,9.46%,2.89%,6.34%,15.18%,19.56%
EBITDA,Net Income ($k),"904,000","801,000","830,000","699,000","792,000","806,000","641,000","424,000","306,000","85,000","180,000","404,000","524,000"
EBITDA,D & A ($k),"249,000","227,000","211,000","200,000","183,000","172,000","167,000","164,000","162,000","164,000","165,000","169,000","170,000"
EBITDA,Net Interest Expense ($k),"-111,000","-110,000","-109,000","-111,000","-116,000","-119,000","-119,000","-118,000","-110,000","-101,000","-86,000","-64,000","-42,000"
EBITDA,Tax Provision ($k),"253,000","19,000","30,000","-77,000","-72,000","-172,000","-129,000","-95,000","-94,000","74,000","61,000","108,000","147,000"
EBITDA,EBITDA ($k),"1,295,000","937,000","962,000","711,000","787,000","687,000","560,000","375,000","264,000","222,000","320,000","617,000","799,000"
EBITDA,Stock-Based Comp ($k),"506,000","699,000","926,000","879,000","820,000","812,000","784,000","1,079,000","1,037,000","846,000","685,000","206,000","79,000"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,151.28,109.31,141.49,161.74,106.79,123.36,143.01,158.83,126.91,75.15,53.52,60.75,60.75
Capital Structure,O/S Shares,"1,063,000,000","1,062,000,000","1,081,818,181","1,058,000,000","1,055,000,000","1,052,000,000","1,049,000,000","1,044,000,000","1,032,360,816","1,026,894,266","1,025,312,844","1,026,054,856","1,026,054,856"
Capital Structure,Market Capitalization ($k),"160,810,640","116,087,220","153,066,454","171,120,920","112,663,450","129,774,720","150,017,490","165,818,520","131,016,911","77,171,104","54,874,743","62,332,833","62,332,833"
Capital Structure,Cash ($k),"2,751,000","2,807,000","2,518,000","1,956,000","2,085,000","2,036,000","1,498,000","1,465,000","1,923,000","1,551,000","1,406,000","1,248,000","1,554,000"
Capital Structure,Debt ($k),"432,000","858,000","429,000","396,000","356,000","271,000","263,000","249,000","226,000","226,000","214,000","223,000","219,000"
Capital Structure,Enterprise Value ($k),"158,491,640","114,138,220","150,977,454","169,560,920","110,934,450","128,009,720","148,782,490","164,602,520","129,319,911","75,846,104","53,682,743","61,307,833","60,997,833"
Capital Structure,netCommonStockIssuance ($k),"39,000",0,"-202,000","-85,000",0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance ($k),0,0,0,0,0,0,0,0,0,0,"4,000","-4,000",0
Liquidity & Cash Flow,DSO,156.1,157.0,157.6,161.1,145.4,138.7,131.7,119.1,123.5,137.0,107.1,76.5,39.7
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,74.7,119.2,128.1,99.6,71.7,53.9,36.8,21.9,22.1,39.4,27.5,30.2,31.0
Liquidity & Cash Flow,CCC,81.4,37.8,29.4,61.5,73.7,84.8,94.9,97.3,101.3,97.5,79.6,46.3,8.6
Liquidity & Cash Flow,OCF ($k),"1,524,000","1,522,000","1,580,000","1,019,000","397,000","806,000","693,000","914,000","1,090,000","906,000","1,007,000","856,000","739,000"
Liquidity & Cash Flow,CapEx ($k),"-566,000","-554,000","-433,000","-348,000","-223,000","-164,000","-152,000","-146,000","-143,000","-144,000","-106,000","-93,000","-93,000"
Liquidity & Cash Flow,FCF ($k),"972,000","970,000","1,144,000","661,000","162,000","626,000","525,000","759,000","947,000","762,000","901,000","763,000","646,000"
BQR-Mid-Mkt,Total Debt / Equity,0.1x,0.1x,0.1x,0.1x,0.1x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.1x,0.1x
BQR,Total Debt / Adj Ebitda,0.3x,0.9x,0.4x,0.6x,0.5x,0.4x,0.5x,0.7x,0.9x,1.0x,0.7x,0.4x,0.3x
BQR,Adj Ebitda / Interest Expense,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x
BQR,Net Income before extraordinary ($k),"904,000","801,000","830,000","699,000","792,000","806,000","641,000","424,000","306,000","85,000","180,000","404,000","524,000"
BQR,(NCO-CAPEX) / Total Debt,225.00%,113.05%,266.67%,166.92%,45.51%,231.00%,199.62%,304.82%,419.03%,337.17%,421.03%,342.15%,294.98%
BQR,Score: Operating Leverage,15,25,15,25,15,15,15,25,25,35,25,15,15
