Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-04-30,2026-02-24,2025-10-30,2025-07-31,2025-04-29,2025-02-25,2024-10-29,2024-07-30,2024-05-01,2024-02-27,2023-10-31,2023-07-27,2023-04-27,2023-02-28,2022-10-28,2022-07-29,2022-04-29
Revenue & Margin,Segment-1,-,Solar Module,-,-,-,Modules Segment,-,-,-,Solar Module,-,-,-,Solar Module,-,-,-
Revenue & Margin,Segment-1 %,-,100.0%,-,-,-,99.9%,-,-,-,99.3%,-,-,-,92.7%,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,Other,-,-,-,Other,-,-,-,Other,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,0.1%,-,-,-,0.7%,-,-,-,7.3%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"5,419,048","5,219,376","5,050,625","4,343,437","4,256,749","4,206,289","3,850,811","3,764,233","3,564,424","3,318,602","3,162,440","2,990,283","2,800,565","2,619,319","2,524,247","2,478,818","2,487,043"
