Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-04-16,2026-04-29,2025-11-17,2025-06-30,2025-03-30,2025-03-26,2024-10-30,2024-06-30,2024-03-31,2024-03-20,2023-09-30,2023-06-30,2023-03-31,2023-04-28,2022-09-30,2022-06-30,2022-04-22,2022-04-28
Revenue & Margin,Segment-1,-,Sales of Other Solar Materials,-,-,-,Sales of Solar Modules,-,-,-,Sales of Solar Modules,-,-,-,Sales of Solar Modules,-,-,-,Sales of solar modules
Revenue & Margin,Segment-1 %,-,100.0%,-,-,-,98.9%,-,-,-,98.3%,-,-,-,96.5%,-,-,-,92.4%
Revenue & Margin,Segment-2,-,-,-,-,-,Sales of Solar Cells,-,-,-,Sales of Solar Cells,-,-,-,Sales of Other Solar Materials,-,-,-,Sales of silicon wafers
Revenue & Margin,Segment-2 %,-,-,-,-,-,0.9%,-,-,-,1.4%,-,-,-,1.7%,-,-,-,2.8%
Revenue & Margin,Segment-3,-,-,-,-,-,Sales of Silicon Wafers,-,-,-,Sales of Silicon Wafers,-,-,-,Sales of Solar Cells,-,-,-,Sales of other solar materials
Revenue & Margin,Segment-3 %,-,-,-,-,-,0.2%,-,-,-,0.2%,-,-,-,1.2%,-,-,-,2.6%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,Sales of Solar Projects,-,-,-,"Sales of Silicon Wafers, Revenue From Generated Electricity, Sales of Solar Projects",-,-,-,"Sales of solar cells, Processing service fees, Revenue from generated electricity, Sales of solar projects"
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,0.0%,-,-,-,0.7%,-,-,-,2.2%
Revenue & Margin,Revenue Total ($k),"48,401,243","49,995,835","53,139,781","61,489,528","83,055,663","92,256,303","104,435,745","111,761,759","118,393,809","118,678,591","115,850,474","103,535,532","91,691,575","83,127,297","69,512,950","58,563,639","47,650,713","32,885,929"
Revenue & Margin,Rev-CoGS / Rev,4.81%,1.91%,3.18%,7.10%,8.39%,10.90%,12.79%,13.99%,14.99%,16.05%,16.54%,15.55%,15.37%,14.77%,15.41%,15.26%,15.79%,16.11%
Revenue & Margin,Rev-CoGS-SG&A / Rev,-6.29%,-10.79%,-9.01%,-6.00%,-4.57%,-1.28%,0.80%,3.19%,5.19%,6.44%,6.91%,4.87%,2.99%,1.84%,1.76%,2.03%,3.45%,4.43%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,-7.81%,-11.71%,-11.03%,-7.13%,-6.42%,-3.63%,-1.01%,1.67%,3.84%,5.13%,5.49%,3.31%,1.75%,0.52%,0.43%,0.60%,2.09%,2.90%
Revenue & Margin,Net Income / Rev,-5.86%,-7.38%,-5.02%,-3.08%,-2.26%,0.06%,0.54%,1.67%,2.76%,2.90%,3.52%,3.20%,1.51%,0.75%,0.28%,-0.27%,1.11%,1.52%
EBITDA,Net Income ($k),"-2,834,472","-3,689,834","-2,666,563","-1,894,245","-1,873,734","54,540","560,592","1,861,433","3,268,188","3,447,440","4,083,147","3,309,596","1,380,225","620,512","194,958","-160,640","528,865","499,928"
EBITDA,D & A ($k),0,0,0,0,0,0,0,0,0,0,"2,322,951","2,322,951","2,322,951","2,322,951","1,739,185,356","1,739,185,356","1,739,185,356","1,739,185,356"
EBITDA,Net Interest Expense ($k),"724,962","691,034","702,325","698,246","777,869","728,966","692,613","644,238","753,793","621,527","527,615","512,447","386,587","493,225","529,457","560,424","628,939","466,649"
EBITDA,Tax Provision ($k),"-1,651,882","-1,436,145","-975,615","-635,520","-570,799","69,441","850,809","1,105,654","1,421,999","1,260,285","1,324,844","1,072,314","849,259","605,276","466,757","337,940","212,951","141,930"
