Category,Metric,ARRY,CSIQ,FSLR,JKS,NXT,ROCK,SHLS
Header,Fiscal Period,2026-Q1,2026-Q1,2026-Q1,2026-Q1,2026-Q4,2026-Q1,2026-Q1
Header,Statement Date,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31
Header,Filing Date,2026-05-06,2026-04-27,2026-04-30,2026-04-16,2026-05-19,2026-05-07,2026-05-05
Revenue & Margin,Segment-1,UNITED STATES,Electricity,Solar Module,Sales of Other Solar Materials,Reportable Segment,Residential,System Solutions
Revenue & Margin,Segment-1 %,82.2%,100.0%,100.0%,100.0%,100.0%,72.6%,78.7%
Revenue & Margin,Segment-2,SPAIN,-,Other,Sales of Solar Cells,-,Agtech,Components
Revenue & Margin,Segment-2 %,11.1%,-,0.1%,0.9%,-,19.3%,21.3%
Revenue & Margin,Segment-3,BRAZIL,-,-,Sales of Silicon Wafers,-,Infrastructure,-
Revenue & Margin,Segment-3 %,4.8%,-,-,0.2%,-,8.1%,-
Revenue & Margin,Others,AUSTRALIA,-,-,Sales of Solar Projects,-,Infrastructure,-
Revenue & Margin,Others %,1.9%,-,-,0.0%,-,6.7%,-
Revenue & Margin,Revenue Total ($k),"1,205,190","5,476,360","5,419,048","48,401,243","3,559,390","1,201,773","535,527"
Revenue & Margin,Rev-CoGS / Rev,23.66%,21.12%,41.73%,4.81%,32.39%,25.49%,33.50%
Revenue & Margin,Rev-CoGS-SG&A / Rev,6.64%,3.63%,37.74%,-6.29%,23.10%,7.72%,12.80%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,4.24%,3.12%,33.17%,-7.81%,19.70%,7.72%,11.16%
Revenue & Margin,Net Income / Rev,-5.56%,-1.87%,30.73%,-5.86%,16.46%,0.75%,6.27%
EBITDA,Net Income ($k),"-66,984","-102,248","1,665,313","-2,834,472","585,883","8,967","33,559"
EBITDA,D & A ($k),"53,082",0,"550,733",0,"30,602","36,666","14,786"
EBITDA,Net Interest Expense ($k),"13,939","139,433","-49,538","724,962","-3,630","12,099","10,236"
EBITDA,Tax Provision ($k),"18,612","54,209","52,875","-1,651,882","127,943","18,472","12,558"
EBITDA,EBITDA ($k),"18,649","91,394","2,219,383","-3,761,392","740,798","76,204","71,139"
EBITDA,Stock-Based Comp ($k),"16,714",0,"23,420","225,727","22,310","5,899","10,558"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,7.23,13.85,197.26,175.27,120.55,39.87,6.58
Capital Structure,O/S Shares,"152,956,000","67,817,714","107,355,000","13,092,547","148,496,000","29,796,000","167,555,000"
Capital Structure,Market Capitalization ($k),"1,105,872","939,275","21,176,847","2,294,671","17,901,193","1,187,967","1,102,512"
Capital Structure,Cash ($k),"200,702","1,441,110","2,362,979","22,809,510","1,094,976","20,347","1,877"
Capital Structure,Debt ($k),"763,206","7,806,378","425,776","53,145,210",0,"1,374,199","219,550"
Capital Structure,Enterprise Value ($k),"1,668,376","7,304,543","19,239,644","32,630,371","16,806,217","2,541,819","1,320,185"
Capital Structure,netCommonStockIssuance ($k),0,0,-174,0,-395,"-3,857",0
Capital Structure,netDebtIssuance ($k),"-3,194","222,983","-71,665",0,0,"1,220,746","45,000"
Liquidity & Cash Flow,DSO,99.2,86.5,140.3,133.2,102.3,58.5,102.0
Liquidity & Cash Flow,DIO,67.2,113.3,157.6,123.4,45.4,64.4,93.8
Liquidity & Cash Flow,DPO,67.4,84.4,39.4,109.0,84.5,54.8,53.4
Liquidity & Cash Flow,CCC,99.0,115.4,258.5,147.6,63.2,68.2,142.4
Liquidity & Cash Flow,OCF ($k),"85,423","-199,013","2,450,221",0,"560,439","112,150","-39,939"
Liquidity & Cash Flow,CapEx ($k),"-27,131","-1,209,278","-782,438",0,"-44,812","-40,696","-37,482"
Liquidity & Cash Flow,FCF ($k),"58,292","-1,408,291","1,667,783",0,"515,627","71,454","-77,421"
BQR-Mid-Mkt,Total Debt / Equity,2.8x,2.8x,0.0x,3.3x,0.0x,1.6x,0.4x
BQR,Total Debt / Adj Ebitda,40.9x,85.4x,0.2x,999.0x,0.0x,18.0x,3.1x
BQR,Adj Ebitda / Interest Expense,1.3x,0.7x,-999.0x,-999.0x,-999.0x,6.3x,6.9x
BQR,Net Income before extraordinary ($k),"-66,984","-102,248","1,665,313","-2,834,472","585,883","8,967","33,559"
BQR,(NCO-CAPEX) / Total Debt,7.64%,-18.04%,391.70%,0.00%,99900.00%,5.20%,-35.26%
BQR,Score: Operating Leverage,75,75,15,75,15,75,45
BQR,Score: ICR,75,75,75,75,75,48,48
BQR,Score: Net Income,75,75,25,75,35,55,48
BQR,Score: FCF/Debt,58,75,15,75,15,75,75
BQR,BQR,70.8,75.0,26.5,75.0,29.0,66.0,53.7
