Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2027-Q1,2026-Q4,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1
Header,Statement Date,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30
Header,Filing Date,2026-07-29,2026-05-27,2026-01-28,2025-10-29,2025-07-30,2025-05-28,2025-01-29,2024-10-30,2024-07-31,2024-05-28,2024-01-24,2023-10-25,2023-07-26,2023-05-22,2023-01-30,2022-10-31,2022-08-01
Revenue & Margin,Segment-1,-,Tires,-,-,-,Tires,-,-,-,Tires,-,-,-,Tires,-,-,-
Revenue & Margin,Segment-1 %,-,47.6%,-,-,-,47.3%,-,-,-,48.3%,-,-,-,49.4%,-,-,-
Revenue & Margin,Segment-2,-,Maintenance,-,-,-,Maintenance,-,-,-,Maintenance,-,-,-,Maintenance,-,-,-
Revenue & Margin,Segment-2 %,-,27.0%,-,-,-,27.5%,-,-,-,28.0%,-,-,-,26.9%,-,-,-
Revenue & Margin,Segment-3,-,Brakes,-,-,-,Brakes,-,-,-,Brakes,-,-,-,Brakes,-,-,-
Revenue & Margin,Segment-3 %,-,13.4%,-,-,-,13.2%,-,-,-,13.7%,-,-,-,13.5%,-,-,-
Revenue & Margin,Others,-,"Steering, Batteries, Exhaust, Franchise Royalties",-,-,-,"Steering, Batteries, Exhaust, Franchise Royalties",-,-,-,"Steering, Exhaust, Franchise Royalties",-,-,-,"Steering, Exhaust, Other Product Group",-,-,-
Revenue & Margin,Others %,-,12.0%,-,-,-,12.0%,-,-,-,10.0%,-,-,-,10.2%,-,-,-
Revenue & Margin,Revenue Total ($k),"1,143,269","1,157,175","1,178,328","1,190,710","1,203,187","1,195,334","1,210,419","1,222,303","1,243,003","1,276,789","1,277,548","1,295,088","1,302,815","1,325,382","1,342,576","1,349,164","1,367,045"
Revenue & Margin,Rev-CoGS / Rev,34.88%,35.02%,34.77%,34.61%,34.52%,34.94%,35.56%,35.86%,35.95%,35.41%,34.90%,34.49%,34.42%,34.42%,34.04%,34.40%,34.97%
Revenue & Margin,Rev-CoGS-SG&A / Rev,3.34%,2.45%,2.26%,1.52%,1.54%,3.29%,3.98%,4.88%,5.53%,5.59%,5.27%,5.38%,5.40%,5.89%,6.32%,6.55%,7.31%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,3.34%,2.45%,2.26%,1.52%,1.54%,3.29%,3.98%,4.88%,5.53%,5.59%,5.27%,5.38%,5.40%,5.89%,6.32%,6.55%,7.31%
Revenue & Margin,Net Income / Rev,0.71%,0.19%,-1.06%,-1.60%,-1.59%,-0.43%,1.64%,2.24%,2.78%,2.94%,2.68%,2.71%,2.72%,2.95%,3.52%,3.74%,4.27%
EBITDA,Net Income ($k),"8,074","2,173","-12,521","-19,077","-19,095","-5,182","19,793","27,380","34,605","37,571","34,280","35,144","35,393","39,048","47,254","50,507","58,371"
EBITDA,D & A ($k),61,0,"63,162","65,000","67,221","69,372","70,129","70,907","71,556","72,204","73,273","74,212","75,327","77,037","78,916","80,272","80,991"
EBITDA,Net Interest Expense ($k),"17,084","17,233","17,578","17,779","18,565","18,925","19,479","20,276","19,941","20,005","20,916","21,822","22,726","23,176","23,050","22,777","23,348"
EBITDA,Tax Provision ($k),"3,731",927,"-3,264","-5,469","-5,713",-730,"8,088","11,085","13,272","14,310","12,540","13,269","13,298","18,119","15,492","16,047","18,569"
EBITDA,EBITDA ($k),"28,950","20,333","64,955","58,233","60,978","82,385","117,489","129,648","139,374","144,090","141,009","144,447","146,744","157,380","164,712","169,603","181,279"
EBITDA,Stock-Based Comp ($k),652,0,"4,331","4,414","5,033","4,713","4,477","3,882","4,433","4,308","3,965","4,530","5,037","5,651","5,399","5,502","4,728"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,17.22,15.47,20.80,18.68,14.67,15.92,24.76,28.84,23.86,30.61,31.18,28.44,39.67,49.43,45.19,43.66,45.50
Capital Structure,O/S Shares,"30,145,000","30,020,000","30,020,000","30,000,000","29,978,942","29,963,000","29,949,000","29,934,000","29,916,000","30,934,000","30,934,000","31,434,000","31,415,000","31,405,280","31,396,352","32,204,000","33,482,999"
Capital Structure,Market Capitalization ($k),"519,097","464,409","624,416","560,400","439,791","477,011","741,537","863,297","713,796","946,890","964,522","893,983","1,246,233","1,552,363","1,418,801","1,406,027","1,523,476"
Capital Structure,Cash ($k),"9,526","14,633","4,912","10,468","7,801","20,762","10,161","20,859","18,665","6,561","23,846","9,053","15,316","4,884","12,999","9,794","30,648"
Capital Structure,Debt ($k),"527,843","485,902","485,756","501,043","524,878","529,356","538,495","555,873","617,536","611,011","616,382","586,837","613,647","668,890","705,855","719,752","715,585"
Capital Structure,Enterprise Value ($k),"1,037,414","935,678","1,105,260","1,050,975","956,868","985,605","1,269,871","1,398,311","1,312,667","1,551,340","1,557,058","1,471,767","1,844,564","2,216,369","2,111,657","2,115,985","2,208,413"
Capital Structure,netCommonStockIssuance ($k),0,0,0,0,0,0,0,-420,0,0,"-44,044",0,0,0,"-25,704","-53,999","-17,216"
Capital Structure,netDebtIssuance ($k),"38,160","3,931","-24,016","-20,403",536,"-7,250","-12,578","-60,092",-588,"-1,638","29,237","-19,870","-49,760","-34,746","-9,680","10,096","-76,679"
Liquidity & Cash Flow,DSO,7.4,7.4,6.4,6.3,6.1,5.9,6.2,6.2,6.1,6.1,6.8,6.6,6.4,6.2,4.8,4.9,5.2
Liquidity & Cash Flow,DIO,76.7,77.8,79.2,80.9,80.1,80.1,76.6,74.3,71.5,66.6,65.3,62.0,60.3,58.0,58.9,61.8,64.6
Liquidity & Cash Flow,DPO,147.4,147.5,145.3,145.3,143.6,142.8,134.1,130.0,125.9,121.2,121.2,112.5,101.4,87.1,72.2,60.8,54.1
Liquidity & Cash Flow,CCC,-63.4,-62.3,-59.6,-58.1,-57.3,-56.9,-51.3,-49.5,-48.4,-48.5,-49.1,-43.9,-34.7,-23.0,-8.5,5.9,15.7
Liquidity & Cash Flow,OCF ($k),"41,989","70,438","77,144","74,111","104,335","131,912","97,721","115,086","79,103","125,196","174,288","193,034","209,542","215,016","217,713","191,730","188,250"
Liquidity & Cash Flow,CapEx ($k),-131,0,"-27,514","-25,693","-24,880","-26,362","-27,262","-23,572","-26,682","-25,480","-29,347","-35,112","-38,457","-38,990","-38,920","-37,368","-30,844"
Liquidity & Cash Flow,FCF ($k),"41,858","70,438","49,630","48,418","79,455","105,550","70,459","91,514","52,421","99,716","144,941","157,922","171,085","176,026","178,793","154,362","157,406"
BQR-Mid-Mkt,Total Debt / Equity,0.9x,0.8x,0.8x,0.8x,0.9x,0.9x,0.8x,0.9x,0.9x,0.9x,0.9x,0.8x,0.9x,1.0x,1.0x,1.0x,0.9x
BQR,Total Debt / Adj Ebitda,18.2x,23.9x,7.5x,8.6x,8.6x,6.4x,4.6x,4.3x,4.4x,4.2x,4.4x,4.1x,4.2x,4.3x,4.3x,4.2x,3.9x
BQR,Adj Ebitda / Interest Expense,1.7x,1.2x,3.7x,3.3x,3.3x,4.4x,6.0x,6.4x,7.0x,7.2x,6.7x,6.6x,6.5x,6.8x,7.1x,7.4x,7.8x
BQR,Net Income before extraordinary ($k),"8,074","2,173","-12,521","-19,077","-19,095","-5,182","19,793","27,380","34,605","37,571","34,280","35,144","35,393","39,048","47,254","50,507","58,371"
BQR,(NCO-CAPEX) / Total Debt,7.93%,14.50%,10.22%,9.66%,15.14%,19.94%,13.08%,16.46%,8.49%,16.32%,23.51%,26.91%,27.88%,26.32%,25.33%,21.45%,22.00%
