Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-07,2026-02-05,2025-11-26,2025-08-07,2025-05-08,2025-02-06,2024-11-27,2024-08-08,2024-05-09,2024-02-08,2023-11-22,2023-08-03,2023-05-04,2023-02-02,2022-11-23,2022-08-04,2022-05-05
Revenue & Margin,Segment-1,-,-,Propane,-,-,-,Propane,-,-,-,Propane,-,-,-,Propane,-,-
Revenue & Margin,Segment-1 %,-,-,93.2%,-,-,-,92.0%,-,-,-,90.9%,-,-,-,90.7%,-,-
Revenue & Margin,Segment-2,-,-,Fuel Oil And Refined Fuels,-,-,-,Fuel Oil And Refined Fuels,-,-,-,Fuel Oil And Refined Fuels,-,-,-,Fuel Oil And Refined Fuels,-,-
Revenue & Margin,Segment-2 %,-,-,5.0%,-,-,-,5.9%,-,-,-,6.8%,-,-,-,6.6%,-,-
Revenue & Margin,Segment-3,-,-,Natural Gas And Electricity,-,-,-,Natural Gas And Electricity,-,-,-,Natural Gas And Electricity,-,-,-,Natural Gas And Electricity,-,-
Revenue & Margin,Segment-3 %,-,-,1.8%,-,-,-,2.1%,-,-,-,2.3%,-,-,-,2.7%,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"1,393,118","1,429,575","1,432,518","1,429,783","1,424,243","1,334,667","1,327,172","1,345,126","1,369,144","1,397,558","1,429,194","1,440,230","1,461,934","1,523,528","1,501,465","1,472,075","1,409,828"
Revenue & Margin,Rev-CoGS / Rev,32.20%,42.29%,51.39%,59.87%,60.08%,61.32%,60.65%,62.61%,62.09%,59.89%,58.71%,54.14%,52.73%,54.16%,52.57%,56.27%,58.44%
Revenue & Margin,Rev-CoGS-SG&A / Rev,25.20%,35.48%,44.66%,53.30%,53.41%,54.48%,53.88%,55.68%,55.19%,53.16%,52.30%,48.12%,46.78%,48.58%,47.13%,50.75%,52.95%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,15.42%,14.97%,14.40%,14.02%,14.26%,13.60%,12.90%,14.70%,14.93%,13.83%,14.47%,11.47%,11.29%,15.19%,13.74%,16.60%,16.85%
Revenue & Margin,Net Income / Rev,9.57%,9.30%,7.44%,6.79%,6.65%,5.18%,5.59%,7.28%,8.02%,7.36%,8.66%,6.28%,6.37%,10.75%,9.30%,12.06%,10.92%
EBITDA,Net Income ($k),"133,351","132,930","106,570","97,117","94,761","69,140","74,174","97,905","109,835","102,812","123,752","90,453","93,179","163,804","139,708","177,486","154,000"
EBITDA,D & A ($k),"70,458","71,807","72,042","70,912","68,556","67,681","66,975","66,699","65,857","65,196","62,582","59,872","58,344","56,342","58,848","66,294","79,539"
EBITDA,Net Interest Expense ($k),"75,536","76,409","76,265","77,110","76,658","76,010","74,590","75,335","75,639","75,591","73,393","69,699","65,970","61,353","60,658","60,725","62,458"
EBITDA,Tax Provision ($k),"1,140","1,016","1,348","1,011","1,012","1,048",734,771,772,965,668,679,706,852,429,345,247
EBITDA,EBITDA ($k),"280,485","282,162","256,225","246,150","240,987","213,879","216,473","240,710","252,103","244,564","260,395","220,703","218,199","282,351","259,643","304,850","296,244"
EBITDA,Stock-Based Comp ($k),"5,869","7,709","7,775","7,842","9,972","10,051","10,317","10,525","8,464","8,434","8,260","9,096","10,004","11,015","11,253","10,971","10,729"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,20.38,18.81,18.56,18.61,21.26,17.29,17.94,18.99,20.43,17.76,16.05,14.82,14.84,15.27,15.05,15.33,16.27
Capital Structure,O/S Shares,"66,565,000","66,259,000","65,819,000","65,381,000","64,876,000","64,497,000","64,402,000","64,394,000","64,363,000","64,063,999","63,920,000","63,926,000","63,922,000","63,634,000","63,282,000","63,284,000","63,268,000"
Capital Structure,Market Capitalization ($k),"1,356,595","1,246,332","1,221,601","1,216,740","1,379,264","1,115,153","1,155,372","1,222,842","1,314,936","1,137,777","1,025,916","947,383","948,602","971,691","952,394","970,144","1,029,370"
Capital Structure,Cash ($k),"4,292","3,511","3,707","4,632","9,306","4,441","3,219","4,882","4,420","6,280","3,514","10,030","7,180","6,078","4,100","7,066","6,826"
Capital Structure,Debt ($k),"105,526","1,514,609","1,329,758","1,348,011","1,422,932","1,440,731","1,349,739","1,347,113","1,359,899","1,381,101","1,330,267","1,347,856","1,373,830","1,243,743","1,213,125","1,216,298","1,260,141"
Capital Structure,Enterprise Value ($k),"1,457,829","2,757,430","2,547,652","2,560,119","2,792,890","2,551,443","2,501,892","2,565,073","2,670,415","2,512,598","2,352,669","2,285,209","2,315,252","2,209,356","2,161,419","2,179,376","2,282,685"
Capital Structure,netCommonStockIssuance ($k),-14,"3,148","6,592","8,079","8,788",0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance ($k),"-65,024","110,150","-14,400","-69,000","-10,100","91,700","7,000","-10,698","-35,846","54,800","-28,000","-20,500","57,000","33,900","-1,800","-43,100","-41,900"
Liquidity & Cash Flow,DSO,28.0,27.4,27.1,26.9,26.6,26.6,26.3,26.0,25.8,26.4,26.8,27.2,27.9,28.2,27.9,28.0,27.9
Liquidity & Cash Flow,DIO,25.8,28.9,33.2,37.3,36.2,39.8,39.4,42.1,41.7,40.0,39.5,36.0,35.7,36.2,35.2,38.2,39.6
Liquidity & Cash Flow,DPO,15.9,17.6,25.9,30.8,31.0,36.4,33.6,34.7,35.6,35.7,35.4,30.9,29.2,29.1,26.5,29.9,33.0
Liquidity & Cash Flow,CCC,37.8,38.8,34.4,33.5,31.9,29.9,32.1,33.4,32.0,30.7,30.9,32.3,34.5,35.3,36.6,36.3,34.5
Liquidity & Cash Flow,OCF ($k),"205,971","129,808","186,256","181,205","147,095","182,142","160,585","181,654","182,219","206,192","225,239","216,803","230,402","240,154","220,547","216,911","220,262"
Liquidity & Cash Flow,CapEx ($k),"-73,343","-67,922","-71,960","-76,888","-76,885","-72,122","-59,429","-51,936","-46,613","-45,319","-44,949","-44,434","-46,065","-44,459","-44,352","-41,400","-37,903"
Liquidity & Cash Flow,FCF ($k),"132,628","61,886","114,296","104,317","70,210","110,020","101,156","129,718","135,606","160,873","180,290","172,369","184,337","195,695","176,195","175,511","182,359"
BQR-Mid-Mkt,Total Debt / Equity,0.1x,2.4x,2.2x,2.1x,2.1x,2.6x,2.5x,2.2x,2.1x,2.5x,2.4x,2.3x,2.3x,2.4x,2.4x,2.1x,2.2x
BQR,Total Debt / Adj Ebitda,0.4x,5.4x,5.2x,5.5x,5.9x,6.7x,6.2x,5.6x,5.4x,5.6x,5.1x,6.1x,6.3x,4.4x,4.7x,4.0x,4.3x
BQR,Adj Ebitda / Interest Expense,3.7x,3.7x,3.4x,3.2x,3.1x,2.8x,2.9x,3.2x,3.3x,3.2x,3.5x,3.2x,3.3x,4.6x,4.3x,5.0x,4.7x
BQR,Net Income before extraordinary ($k),"133,351","132,930","106,570","97,117","94,761","69,140","74,174","97,905","109,835","102,812","123,752","90,453","93,179","163,804","139,708","177,486","154,000"
BQR,(NCO-CAPEX) / Total Debt,125.68%,4.09%,8.60%,7.74%,4.93%,7.64%,7.49%,9.63%,9.97%,11.65%,13.55%,12.79%,13.42%,15.73%,14.52%,14.43%,14.47%
BQR,Score: Operating Leverage,15,65,58,65,65,75,65,65,65,65,58,65,75,55,55,52,55
BQR,Score: ICR,58,58,58,58,58,58,58,58,58,58,58,58,58,52,55,48,52
BQR,Score: Net Income,42,42,42,42,42,45,45,42,42,42,42,42,42,42,42,42,42
BQR,Score: FCF/Debt,15,75,58,58,75,58,58,58,58,58,55,55,55,52,55,55,55
BQR,BQR,28.2,60.7,54.0,56.5,60.7,60.7,57.2,56.5,56.5,56.5,53.2,55.7,59.2,50.5,51.8,49.6,51.3
