Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-08,2026-02-27,2025-11-07,2025-08-08,2025-05-09,2025-03-12,2024-11-05,2024-08-09,2024-05-10,2024-02-23,2023-11-03,2023-08-04,2023-05-05,2023-02-24,2022-11-08,2022-08-05,2022-05-06
Revenue & Margin,Segment-1,-,Core Advertising Revenue,-,-,-,Core Advertising Revenue,-,-,-,Core Advertising Revenue,-,-,-,Core Advertising Revenue,-,-,-
Revenue & Margin,Segment-1 %,-,62.0%,-,-,-,53.0%,-,-,-,63.0%,-,-,-,63.2%,-,-,-
Revenue & Margin,Segment-2,-,Distribution Revenue,-,-,-,Distribution Revenue,-,-,-,Distribution Revenue,-,-,-,Distribution Revenue,-,-,-
Revenue & Margin,Segment-2 %,-,35.3%,-,-,-,31.3%,-,-,-,34.0%,-,-,-,26.9%,-,-,-
Revenue & Margin,Segment-3,-,Other Revenue,-,-,-,Political Advertising Revenue,-,-,-,Other Revenue,-,-,-,Political Advertising Revenue,-,-,-
Revenue & Margin,Segment-3 %,-,1.7%,-,-,-,14.4%,-,-,-,1.6%,-,-,-,8.5%,-,-,-
Revenue & Margin,Others,-,Political Advertising Revenue,-,-,-,Other Revenue,-,-,-,Political Advertising Revenue,-,-,-,Other Revenue,-,-,-
Revenue & Margin,Others %,-,1.0%,-,-,-,1.3%,-,-,-,1.5%,-,-,-,1.4%,-,-,-
