Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31
Header,Filing Date,2026-03-03,2025-12-22,2025-08-29,2025-06-02,2025-03-03,2024-12-20,2024-08-30,2024-06-03,2024-03-05,2023-12-20,2023-08-31,2023-05-26,2023-03-03,2022-12-21,2022-09-01,2022-05-31,2022-03-03
Revenue & Margin,Segment-1,-,Agilent CrossLab,-,-,-,Life Sciences and Applied Markets,-,-,-,Life Sciences and Applied Markets,-,-,-,Life Sciences and Applied Markets,-,-,-
Revenue & Margin,Segment-1 %,-,41.9%,-,-,-,49.4%,-,-,-,56.4%,-,-,-,58.5%,-,-,-
Revenue & Margin,Segment-2,-,Life Sciences and Applied Markets,-,-,-,Diagnostics and Genomics,-,-,-,Agilent CrossLab,-,-,-,Agilent CrossLab,-,-,-
Revenue & Margin,Segment-2 %,-,39.2%,-,-,-,25.4%,-,-,-,22.9%,-,-,-,21.2%,-,-,-
Revenue & Margin,Segment-3,-,Applied Markets,-,-,-,Agilent CrossLab,-,-,-,Diagnostics and Genomics,-,-,-,Diagnostics and Genomics,-,-,-
Revenue & Margin,Segment-3 %,-,18.9%,-,-,-,25.3%,-,-,-,20.6%,-,-,-,20.3%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"7,065,000","6,948,000","6,788,000","6,628,000","6,533,000","6,510,000","6,497,000","6,591,000","6,735,000","6,833,000","6,994,000","7,040,000","6,930,000","6,848,000","6,659,000","6,527,000","6,445,000"
Revenue & Margin,Rev-CoGS / Rev,52.23%,52.43%,52.96%,53.35%,53.97%,54.30%,54.39%,50.63%,50.56%,50.71%,50.93%,54.59%,54.55%,54.35%,54.21%,53.98%,53.98%
Revenue & Margin,Rev-CoGS-SG&A / Rev,27.11%,27.84%,28.24%,28.36%,29.76%,30.22%,30.32%,26.72%,26.64%,26.80%,27.15%,30.89%,30.89%,30.45%,30.12%,29.54%,28.70%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,20.61%,21.29%,21.27%,21.38%,22.65%,22.86%,22.90%,19.54%,19.42%,19.76%,20.20%,24.02%,24.07%,23.63%,23.16%,22.48%,21.64%
Revenue & Margin,Net Income / Rev,18.26%,18.75%,17.97%,17.59%,19.27%,19.80%,21.75%,18.84%,18.35%,18.15%,16.20%,19.19%,19.09%,18.31%,19.94%,19.35%,18.70%
EBITDA,Net Income ($k),"1,290,000","1,303,000","1,220,000","1,166,000","1,259,000","1,289,000","1,413,000","1,242,000","1,236,000","1,240,000","1,133,000","1,351,000","1,323,000","1,254,000","1,328,000","1,263,000","1,205,000"
EBITDA,D & A ($k),"283,000","288,000","286,000","277,000","267,000","257,000","250,000","258,000","266,000","271,000","282,000","291,000","302,000","317,000","328,000","332,000","327,000"
EBITDA,Net Interest Expense ($k),"47,000","50,000","48,000","39,000","25,000","16,000","13,000","21,000","32,000","44,000","57,000","63,000","71,000","75,000","77,000","81,000","80,000"
EBITDA,Tax Provision ($k),"142,000","132,000","174,000","205,000","226,000","232,000","127,000","87,000","96,000","99,000","241,000","288,000","272,000","250,000","169,000","164,000","162,000"
EBITDA,EBITDA ($k),"1,762,000","1,773,000","1,728,000","1,687,000","1,777,000","1,794,000","1,803,000","1,608,000","1,630,000","1,654,000","1,713,000","1,993,000","1,968,000","1,896,000","1,902,000","1,840,000","1,774,000"
EBITDA,Stock-Based Comp ($k),"129,000","128,000","128,000","124,000","126,000","130,000","118,000","119,000","111,000","111,000","123,000","122,000","125,000","125,000","121,000","115,000","114,000"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,133.85,146.36,114.81,107.60,151.52,130.31,141.40,137.04,130.10,103.37,121.77,136.08,152.08,138.35,133.43,119.27,139.32
Capital Structure,O/S Shares,"283,000,000","283,000,000","285,000,000","285,000,000","285,000,000","290,000,000","290,000,000","293,000,000","293,000,000","292,000,000","294,000,000","296,078,431","296,000,000","296,000,000","298,000,000","299,000,000","301,000,000"
Capital Structure,Market Capitalization ($k),"37,879,550","41,419,880","32,720,850","30,666,000","43,183,200","37,789,900","41,006,000","40,152,720","38,119,300","30,184,040","35,800,380","40,290,353","45,015,680","40,951,600","39,762,140","35,661,730","41,935,320"
Capital Structure,Cash ($k),"1,758,000","1,789,000","1,535,000","1,486,000","1,467,000","1,329,000","1,779,000","1,671,000","1,748,000","1,590,000","1,329,000","1,175,000","1,250,000","1,053,000","1,071,000","1,186,000","1,113,000"
Capital Structure,Debt ($k),"3,354,000","3,354,000","3,409,000","3,495,000","3,363,000","3,574,000","2,932,000","2,556,000","2,555,000","2,735,000","2,789,000","2,733,000","2,971,000","2,769,000","2,912,000","2,905,000","2,730,000"
Capital Structure,Enterprise Value ($k),"39,475,550","42,984,880","34,594,850","32,675,000","45,079,200","40,034,900","42,159,000","41,037,720","38,926,300","31,329,040","37,260,380","41,848,353","46,736,680","42,667,600","41,603,140","37,380,730","43,552,320"
Capital Structure,netCommonStockIssuance ($k),"-121,000","-73,000","-85,000","-165,000","-90,000","-335,000","-585,000","-230,000","34,000","-80,000","-335,000","-85,000","-40,000","-135,000","-323,000","-234,000","-420,000"
Capital Structure,netDebtIssuance ($k),"-2,000","-56,000","-88,000","130,000","-27,000","442,000","375,000",0,"-180,000","-55,000","55,000","-238,000","203,000","-145,000","-4,000","175,000",0
Liquidity & Cash Flow,DSO,74.3,73.1,72.6,72.2,71.6,71.4,71.1,71.6,72.2,73.3,73.1,72.7,71.7,69.2,68.0,66.2,64.8
Liquidity & Cash Flow,DIO,110.6,111.2,113.6,116.2,119.8,122.2,124.5,116.0,116.2,117.0,115.0,121.6,118.7,112.8,109.4,105.2,102.1
Liquidity & Cash Flow,DPO,60.0,59.7,61.0,62.0,62.1,60.9,57.4,51.0,50.3,51.2,54.5,61.6,63.2,61.8,59.3,55.9,54.1
Liquidity & Cash Flow,CCC,124.9,124.5,125.2,126.4,129.3,132.7,138.2,136.6,138.0,139.1,133.5,132.8,127.2,120.2,118.1,115.5,112.7
Liquidity & Cash Flow,OCF ($k),"1,396,000","1,559,000","1,495,000","1,585,000","1,697,000","1,751,000","1,786,000","1,896,000","1,961,000","1,772,000","1,704,000","1,468,000","1,353,000","1,312,000","1,305,000","1,313,000","1,502,000"
Liquidity & Cash Flow,CapEx ($k),"-403,000","-407,000","-407,000","-396,000","-385,000","-378,000","-369,000","-358,000","-312,000","-298,000","-284,000","-285,000","-292,000","-291,000","-283,000","-256,000","-223,000"
Liquidity & Cash Flow,FCF ($k),"993,000","1,152,000","1,088,000","1,189,000","1,312,000","1,373,000","1,417,000","1,538,000","1,649,000","1,474,000","1,420,000","1,183,000","1,061,000","1,021,000","1,022,000","1,057,000","1,279,000"
BQR-Mid-Mkt,Total Debt / Equity,0.5x,0.5x,0.5x,0.6x,0.6x,0.6x,0.5x,0.4x,0.4x,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.5x
BQR,Total Debt / Adj Ebitda,1.9x,1.9x,2.0x,2.1x,1.9x,2.0x,1.6x,1.6x,1.6x,1.7x,1.6x,1.4x,1.5x,1.5x,1.5x,1.6x,1.5x
BQR,Adj Ebitda / Interest Expense,37.5x,35.5x,36.0x,43.3x,71.1x,112.1x,138.7x,76.6x,50.9x,37.6x,30.1x,31.6x,27.7x,25.3x,24.7x,22.7x,22.2x
BQR,Net Income before extraordinary ($k),"1,290,000","1,303,000","1,220,000","1,166,000","1,259,000","1,289,000","1,413,000","1,242,000","1,236,000","1,240,000","1,133,000","1,351,000","1,323,000","1,254,000","1,328,000","1,263,000","1,205,000"
BQR,(NCO-CAPEX) / Total Debt,29.61%,34.35%,31.92%,34.02%,39.01%,38.42%,48.33%,60.17%,64.54%,53.89%,50.91%,43.29%,35.71%,36.87%,35.10%,36.39%,46.85%
BQR,Score: Operating Leverage,42,42,42,42,42,42,35,35,35,35,35,35,35,35,35,35,35
BQR,Score: ICR,15,15,15,15,15,15,15,15,15,15,15,15,25,25,25,25,25
BQR,Score: Net Income,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
BQR,Score: FCF/Debt,42,35,35,35,35,35,25,15,15,15,15,25,35,35,35,35,25
BQR,BQR,33.7,31.9,31.9,31.9,31.9,31.9,27.0,24.5,24.5,24.5,24.5,27.0,31.0,31.0,31.0,31.0,28.5
