Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-10-31,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30
Header,Filing Date,2026-05-04,2026-02-12,2025-10-31,2025-08-01,2025-05-09,2025-02-12,2024-11-06,2024-08-07,2024-05-03,2024-02-16,2023-11-13,2023-08-10,2023-05-05,2023-02-17,2022-11-04,2022-08-11,2022-05-05
Revenue & Margin,Segment-1,-,Sequencing,-,-,-,-,-,-,-,Sequencing,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,91.8%,-,-,-,-,-,-,-,91.3%,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,Microarray,-,-,-,-,-,-,-,Microarray,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,8.2%,-,-,-,-,-,-,-,8.7%,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"4,391,000","4,341,000","4,285,000","4,282,000","4,337,000","4,372,000","4,390,000","4,429,000","4,493,000","4,504,000","4,465,000","4,461,000","4,447,000","4,583,000","4,699,000","4,692,000","4,656,000"
Revenue & Margin,Rev-CoGS / Rev,67.66%,67.08%,66.79%,67.14%,66.38%,65.44%,63.94%,62.00%,61.36%,60.95%,61.43%,62.23%,63.21%,64.83%,66.31%,67.54%,68.81%
Revenue & Margin,Rev-CoGS-SG&A / Rev,43.07%,42.48%,42.15%,43.27%,45.24%,40.37%,34.10%,30.98%,23.77%,24.80%,26.16%,30.44%,32.49%,36.55%,38.86%,24.42%,25.30%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,21.45%,20.59%,19.58%,31.50%,-11.76%,-18.41%,-26.67%,-60.19%,-24.86%,-23.76%,-23.14%,-88.23%,-99.55%,-91.18%,-85.36%,-19.16%,-2.86%
