Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-04-30,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30
Header,Filing Date,2026-05-12,2026-02-23,2025-11-04,2025-08-04,2025-05-06,2025-02-25,2024-11-01,2024-07-31,2024-05-07,2024-02-27,2023-11-07,2023-08-02,2023-05-09,2023-02-27,2022-11-03,2022-08-04,2022-05-05
Revenue & Margin,Segment-1,-,Waters Instrument Systems,-,-,-,Waters Instrument Systems,-,-,-,Waters Instrument Systems,-,-,-,Waters Instrument Systems,-,-,-
Revenue & Margin,Segment-1 %,-,34.8%,-,-,-,34.9%,-,-,-,37.5%,-,-,-,40.7%,-,-,-
Revenue & Margin,Segment-2,-,Waters Service,-,-,-,Waters Service,-,-,-,Waters Service,-,-,-,Waters Service,-,-,-
Revenue & Margin,Segment-2 %,-,34.1%,-,-,-,34.0%,-,-,-,32.2%,-,-,-,30.0%,-,-,-
Revenue & Margin,Segment-3,-,Chemistry Consumables,-,-,-,Chemistry Consumables,-,-,-,Chemistry Consumables,-,-,-,Chemistry Consumables,-,-,-
Revenue & Margin,Segment-3 %,-,19.9%,-,-,-,19.1%,-,-,-,18.3%,-,-,-,17.7%,-,-,-
Revenue & Margin,Others,-,"Ta Instrument Systems, Ta Service",-,-,-,"Ta Instrument Systems, Ta Service",-,-,-,"Ta Instrument Systems, Ta Service",-,-,-,"Ta Instrument Systems, Ta Service",-,-,-
Revenue & Margin,Others %,-,11.1%,-,-,-,12.0%,-,-,-,12.0%,-,-,-,11.6%,-,-,-
