symbol,filingDate,filing_detail_url,document_type
DEC,46161,https://www.sec.gov/Archives/edgar/data/1922446/000192244626000050/0001922446-26-000050-index.htm,8-K
ADOM,46162,https://www.sec.gov/Archives/edgar/data/1563568/000143774926017874/0001437749-26-017874-index.htm,8-K
AIM,46161,https://www.sec.gov/Archives/edgar/data/946644/000149315226024353/0001493152-26-024353-index.htm,8-K
AJX,46161,https://www.sec.gov/Archives/edgar/data/1614806/000110465926063938/0001104659-26-063938-index.htm,8-K
AJXA,46161,https://www.sec.gov/Archives/edgar/data/1614806/000110465926063938/0001104659-26-063938-index.htm,8-K
ANVS,46162,https://www.sec.gov/Archives/edgar/data/1477845/000110465926064514/0001104659-26-064514-index.htm,8-K
AOMN,46162,https://www.sec.gov/Archives/edgar/data/1766478/000176647826000038/0001766478-26-000038-index.htm,8-K
AOMR,46162,https://www.sec.gov/Archives/edgar/data/1766478/000176647826000038/0001766478-26-000038-index.htm,8-K
ATHR,46161,https://www.sec.gov/Archives/edgar/data/2026353/000149315226024444/0001493152-26-024444-index.htm,8-K
AUMN,46162,https://www.sec.gov/Archives/edgar/data/1011509/000110465926064509/0001104659-26-064509-index.htm,8-K
AVA,46162,https://www.sec.gov/Archives/edgar/data/104918/000119312526231187/0001193125-26-231187-index.htm,8-K
AZRX,46162,https://www.sec.gov/Archives/edgar/data/1604191/000110465926064500/0001104659-26-064500-index.htm,8-K
BAYA,46161,https://www.sec.gov/Archives/edgar/data/1969475/000149315226024443/0001493152-26-024443-index.htm,8-K
BAYAR,46161,https://www.sec.gov/Archives/edgar/data/1969475/000149315226024443/0001493152-26-024443-index.htm,8-K
BAYAU,46161,https://www.sec.gov/Archives/edgar/data/1969475/000149315226024443/0001493152-26-024443-index.htm,8-K
BDX,46162,https://www.sec.gov/Archives/edgar/data/10795/000114036126022270/0001140361-26-022270-index.htm,8-K
BDXB,46162,https://www.sec.gov/Archives/edgar/data/10795/000114036126022270/0001140361-26-022270-index.htm,8-K
BFC,46161,https://www.sec.gov/Archives/edgar/data/1746109/000110465926063919/0001104659-26-063919-index.htm,8-K
BRCB,46162,https://www.sec.gov/Archives/edgar/data/2068577/000162828026036943/0001628280-26-036943-index.htm,8-K
BXMT,46161,https://www.sec.gov/Archives/edgar/data/1061630/000119312526231141/0001193125-26-231141-index.htm,8-K
CENN,46162,https://www.sec.gov/Archives/edgar/data/1707919/000114036126022277/0001140361-26-022277-index.htm,8-K
CLAY,46161,https://www.sec.gov/Archives/edgar/data/1855467/000149315226024386/0001493152-26-024386-index.htm,8-K
CLAYU,46161,https://www.sec.gov/Archives/edgar/data/1855467/000149315226024386/0001493152-26-024386-index.htm,8-K
CLAYW,46161,https://www.sec.gov/Archives/edgar/data/1855467/000149315226024386/0001493152-26-024386-index.htm,8-K
CSWC,46161,https://www.sec.gov/Archives/edgar/data/17313/000001731326000036/0000017313-26-000036-index.htm,8-K
CSWCZ,46161,https://www.sec.gov/Archives/edgar/data/17313/000001731326000036/0000017313-26-000036-index.htm,8-K
CTBB,46162,https://www.sec.gov/Archives/edgar/data/68622/000119312526232747/0001193125-26-232747-index.htm,8-K
CTDD,46162,https://www.sec.gov/Archives/edgar/data/68622/000119312526232747/0001193125-26-232747-index.htm,8-K
CTU,46162,https://www.sec.gov/Archives/edgar/data/68622/000119312526232747/0001193125-26-232747-index.htm,8-K
CW,46162,https://www.sec.gov/Archives/edgar/data/26324/000162828026036955/0001628280-26-036955-index.htm,8-K
