symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
ADTX,0001726711,2026-06-10 00:00:00,2026-06-10 17:30:05,8-K,False,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/0001213900-26-067421-index.htm,https://www.sec.gov/Archives/edgar/data/1726711/000121390026067421/ea0294307-8k_aditxt.htm
BHR,0001574085,2026-06-10 00:00:00,2026-06-10 17:29:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/0001574085-26-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/bhr-20260604.htm
BHR-PB,0001574085,2026-06-10 00:00:00,2026-06-10 17:29:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/0001574085-26-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/bhr-20260604.htm
BHR-PD,0001574085,2026-06-10 00:00:00,2026-06-10 17:29:58,8-K,False,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/0001574085-26-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408526000098/bhr-20260604.htm
CGCTW,0002049662,2026-06-10 00:00:00,2026-06-10 17:29:05,8-K,True,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_ex99-1.htm
CGCT,0002049662,2026-06-10 00:00:00,2026-06-10 17:29:05,8-K,True,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_ex99-1.htm
CGCTU,0002049662,2026-06-10 00:00:00,2026-06-10 17:29:05,8-K,True,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/0001104659-26-072433-index.htm,https://www.sec.gov/Archives/edgar/data/2049662/000110465926072433/tm2617149d1_ex99-1.htm
BKYI,0001019034,2026-06-10 00:00:00,2026-06-10 17:28:24,8-K,False,https://www.sec.gov/Archives/edgar/data/1019034/000143774926020203/0001437749-26-020203-index.htm,https://www.sec.gov/Archives/edgar/data/1019034/000143774926020203/bkyi20260610_8k.htm
JNRV,0001805526,2026-06-10 00:00:00,2026-06-10 17:27:28,8-K,False,https://www.sec.gov/Archives/edgar/data/1805526/000180552626000046/0001805526-26-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1805526/000180552626000046/dfdv-20260608.htm
DFDV,0001805526,2026-06-10 00:00:00,2026-06-10 17:27:28,8-K,False,https://www.sec.gov/Archives/edgar/data/1805526/000180552626000046/0001805526-26-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1805526/000180552626000046/dfdv-20260608.htm
JNVR,0001805526,2026-06-10 00:00:00,2026-06-10 17:27:28,8-K,False,https://www.sec.gov/Archives/edgar/data/1805526/000180552626000046/0001805526-26-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1805526/000180552626000046/dfdv-20260608.htm
None,0001693736,2026-06-10 00:00:00,2026-06-10 17:26:56,8-K,False,https://www.sec.gov/Archives/edgar/data/1693736/000169373626000003/0001693736-26-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1693736/000169373626000003/eqpt-20260604.htm
IKNX,0001083301,2026-06-10 00:00:00,2026-06-10 17:26:22,8-K,False,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000115/0001083301-26-000115-index.htm,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000115/wulf-20260609.htm
WULF,0001083301,2026-06-10 00:00:00,2026-06-10 17:26:22,8-K,False,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000115/0001083301-26-000115-index.htm,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000115/wulf-20260609.htm
None,0002079966,2026-06-10 00:00:00,2026-06-10 17:25:05,8-K,False,https://www.sec.gov/Archives/edgar/data/2079966/000121390026067418/0001213900-26-067418-index.htm,https://www.sec.gov/Archives/edgar/data/2079966/000121390026067418/ea0294345-8k_macquarie.htm
None,0001109448,2026-06-10 00:00:00,2026-06-10 17:24:44,8-K,False,https://www.sec.gov/Archives/edgar/data/1109448/000110944826000187/0001109448-26-000187-index.htm,https://www.sec.gov/Archives/edgar/data/1109448/000110944826000187/ab-20260610.htm
IBRX,0001326110,2026-06-10 00:00:00,2026-06-10 17:24:02,8-K,False,https://www.sec.gov/Archives/edgar/data/1326110/000132611026000064/0001326110-26-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000132611026000064/ibrx-20260609.htm
RDNT,0000790526,2026-06-10 00:00:00,2026-06-10 17:23:08,8-K,False,https://www.sec.gov/Archives/edgar/data/790526/000168316826004716/0001683168-26-004716-index.htm,https://www.sec.gov/Archives/edgar/data/790526/000168316826004716/radnet_8k.htm
