symbol,filingDate,filing_detail_url,document_type
NIMU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/720762/000149315226031343/0001493152-26-031343-index.htm,8-K
RAIN,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2028293/000121390026073834/0001213900-26-073834-index.htm,8-K
RAINW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2028293/000121390026073834/0001213900-26-073834-index.htm,8-K
WAVSW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226031333/0001493152-26-031333-index.htm,8-K
WAVS,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226031333/0001493152-26-031333-index.htm,8-K
WAVSU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226031333/0001493152-26-031333-index.htm,8-K
CYCUW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226031333/0001493152-26-031333-index.htm,8-K
CYCU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226031333/0001493152-26-031333-index.htm,8-K
SWMR,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2092574/000110465926079408/0001104659-26-079408-index.htm,8-K
NUVB,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1811063/000119312526290823/0001193125-26-290823-index.htm,8-K
NUVB-WT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1811063/000119312526290823/0001193125-26-290823-index.htm,8-K
JHG,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1274173/000110465926079401/0001104659-26-079401-index.htm,8-K
JUHDF,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1274173/000110465926079401/0001104659-26-079401-index.htm,8-K
LMRI,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2071288/000119312526290788/0001193125-26-290788-index.htm,8-K
VVV,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1674910/000167491026000049/0001674910-26-000049-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2116105/000182912626007072/0001829126-26-007072-index.htm,8-K
KRMD,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/704440/000116169726000139/0001161697-26-000139-index.htm,8-K
LTC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/887905/000110465926079383/0001104659-26-079383-index.htm,8-K
GNT-PA,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1438893/000182912626007067/0001829126-26-007067-index.htm,8-K
GNT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1438893/000182912626007067/0001829126-26-007067-index.htm,8-K
NVCT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1875558/000110465926079360/0001104659-26-079360-index.htm,8-K
INN-PE,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1497645/000149764526000054/0001497645-26-000054-index.htm,8-K
INN,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1497645/000149764526000054/0001497645-26-000054-index.htm,8-K
INN-PF,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1497645/000149764526000054/0001497645-26-000054-index.htm,8-K
PATK,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/76605/000007660526000059/0000076605-26-000059-index.htm,8-K
WESTW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1806347/000110465926079351/0001104659-26-079351-index.htm,8-K
WEST,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1806347/000110465926079351/0001104659-26-079351-index.htm,8-K
ADVB,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1941029/000121390026073735/0001213900-26-073735-index.htm,8-K
SEDRF,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1737706/000119312526290671/0001193125-26-290671-index.htm,8-K
SDRL,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1737706/000119312526290671/0001193125-26-290671-index.htm,8-K
SDRLF,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1737706/000119312526290671/0001193125-26-290671-index.htm,8-K
OBDC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1655888/000119312526290670/0001193125-26-290670-index.htm,8-K
ORCC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1655888/000119312526290670/0001193125-26-290670-index.htm,8-K
AFCG,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1822523/000162828026046244/0001628280-26-046244-index.htm,8-K
VST,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1692819/000114036126026944/0001140361-26-026944-index.htm,8-K
VWAV,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2038439/000173112226000901/0001731122-26-000901-index.htm,8-K
VWAVW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2038439/000173112226000901/0001731122-26-000901-index.htm,8-K
TENX,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/34956/000119312526290661/0001193125-26-290661-index.htm,8-K
WS,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1968487/000196848726000018/0001968487-26-000018-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1836995/000092963826002480/0000929638-26-002480-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1844964/000092963826002480/0000929638-26-002480-index.htm,8-K
FOXA,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1754301/000119312526290605/0001193125-26-290605-index.htm,8-K
FOX,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1754301/000119312526290605/0001193125-26-290605-index.htm,8-K
WPC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1025378/000110465926079341/0001104659-26-079341-index.htm,8-K
FWAC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1847874/000149315226031287/0001493152-26-031287-index.htm,8-K
TALO,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1724965/000119312526290589/0001193125-26-290589-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2126766/000153949726001892/0001539497-26-001892-index.htm,8-K
IRON,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1816736/000119312526290542/0001193125-26-290542-index.htm,8-K
GMTX,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1816736/000119312526290542/0001193125-26-290542-index.htm,8-K
GPMT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1703644/000170364426000023/0001703644-26-000023-index.htm,8-K
GPMT-PA,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1703644/000170364426000023/0001703644-26-000023-index.htm,8-K
HPKEW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1792849/000143774926022144/0001437749-26-022144-index.htm,8-K
AQB,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1603978/000160397826000073/0001603978-26-000073-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2049595/000119312526290507/0001193125-26-290507-index.htm,8-K
LSCC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/855658/000143774926022141/0001437749-26-022141-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1837532/000119312526290482/0001193125-26-290482-index.htm,8-K
INTZ,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/736012/000168316826005193/0001683168-26-005193-index.htm,8-K
CNET,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1376321/000117184326004396/0001171843-26-004396-index.htm,8-K
APVO,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1671584/000119312526290473/0001193125-26-290473-index.htm,8-K
PQG,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1708035/000119312526290479/0001193125-26-290479-index.htm,8-K
ECVT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1708035/000119312526290479/0001193125-26-290479-index.htm,8-K
SLNG,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1043186/000143774926022140/0001437749-26-022140-index.htm,8-K
CUEN,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1424657/000121390026073668/0001213900-26-073668-index.htm,8-K
CUENW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1424657/000121390026073668/0001213900-26-073668-index.htm,8-K
MAIN,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1396440/000139644026000082/0001396440-26-000082-index.htm,8-K
ULCC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1670076/000167007626000068/0001670076-26-000068-index.htm,8-K
LCAPW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
MSPRZ,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
LCAPU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
MSPRW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
MSPR,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
LIFWZ,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
LIFW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
LIFWW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1802450/000121390026073663/0001213900-26-073663-index.htm,8-K
HZO,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1057060/000119312526290439/0001193125-26-290439-index.htm,8-K
BKUH,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1440153/000109690626001026/0001096906-26-001026-index.htm,8-K
LPBBU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2023676/000121390026073592/0001213900-26-073592-index.htm,8-K
LPBB,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2023676/000121390026073592/0001213900-26-073592-index.htm,8-K
LPBBW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2023676/000121390026073592/0001213900-26-073592-index.htm,8-K
CNDT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1677703/000167770326000077/0001677703-26-000077-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1661306/000166130626000049/0001661306-26-000049-index.htm,8-K
BNAIW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226031238/0001493152-26-031238-index.htm,8-K
DHCA,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226031238/0001493152-26-031238-index.htm,8-K
DHCAU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226031238/0001493152-26-031238-index.htm,8-K
DHCAW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226031238/0001493152-26-031238-index.htm,8-K
BNAI,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1838163/000149315226031238/0001493152-26-031238-index.htm,8-K
HRYU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1911545/000149315226031219/0001493152-26-031219-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1606242/000121390026073449/0001213900-26-073449-index.htm,8-K
GXGXU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1752828/000149315226031216/0001493152-26-031216-index.htm,8-K
GXGXW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1752828/000149315226031216/0001493152-26-031216-index.htm,8-K
CELUW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1752828/000149315226031216/0001493152-26-031216-index.htm,8-K
CELU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1752828/000149315226031216/0001493152-26-031216-index.htm,8-K
GXGX,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1752828/000149315226031216/0001493152-26-031216-index.htm,8-K
EMPD,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1829794/000168316826005178/0001683168-26-005178-index.htm,8-K
VLCN,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1829794/000168316826005178/0001683168-26-005178-index.htm,8-K
DEA,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1622194/000119312526289476/0001193125-26-289476-index.htm,8-K
KITTW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000101/0001849820-26-000101-index.htm,8-K
CLAQW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000101/0001849820-26-000101-index.htm,8-K
CLAQR,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000101/0001849820-26-000101-index.htm,8-K
CLAQ,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000101/0001849820-26-000101-index.htm,8-K
KITT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000101/0001849820-26-000101-index.htm,8-K
CLAQU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1849820/000184982026000101/0001849820-26-000101-index.htm,8-K
None,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2126043/000118518526002727/0001185185-26-002727-index.htm,8-K
LCII,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/763744/000076374426000040/0000763744-26-000040-index.htm,8-K
BACCU,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2059654/000118518526002723/0001185185-26-002723-index.htm,8-K
BACC,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/2059654/000118518526002723/0001185185-26-002723-index.htm,8-K
JOBY,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1819848/000181984826000378/0001819848-26-000378-index.htm,8-K
JOBY-WT,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1819848/000181984826000378/0001819848-26-000378-index.htm,8-K
RTP,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1819848/000181984826000378/0001819848-26-000378-index.htm,8-K
PCRX,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1396814/000162828026046136/0001628280-26-046136-index.htm,8-K
NUMD,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1543637/000157587226000459/0001575872-26-000459-index.htm,8-K
CREX,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1356093/000143774926022083/0001437749-26-022083-index.htm,8-K
CREXW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1356093/000143774926022083/0001437749-26-022083-index.htm,8-K
EOSEW,2026-06-30 00:00:00,https://www.sec.gov/Archives/edgar/data/1805077/000095010326009739/0000950103-26-009739-index.htm,8-K
