symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
APLD,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027984/0001493152-26-027984-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027984/form8-k.htm,False,
APLD,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027984/0001493152-26-027984-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027984/ex99-1.htm,False,
MLP,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/63330/000143774926020043/0001437749-26-020043-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/63330/000143774926020043/mlp20260609_8k.htm,False,
MLP,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/63330/000143774926020043/0001437749-26-020043-index.htm,EX-99.1,EXHIBIT 99.1,https://www.sec.gov/Archives/edgar/data/63330/000143774926020043/ex_974288.htm,False,
EGY,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/894627/000089462726000037/0000894627-26-000037-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/894627/000089462726000037/egy-20260604.htm,False,
EGY,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/894627/000089462726000037/0000894627-26-000037-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/894627/000089462726000037/ex101formofperformanceshar.htm,False,
EGY,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/894627/000089462726000037/0000894627-26-000037-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/894627/000089462726000037/ex102formofrestrictedstock.htm,False,
None,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1849894/000119312526264066/0001193125-26-264066-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1849894/000119312526264066/d63165d8k.htm,True,
NVVE,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1836875/000121390026066899/0001213900-26-066899-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1836875/000121390026066899/ea0294200-8k_nuvve.htm,False,
NVVEW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1836875/000121390026066899/0001213900-26-066899-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1836875/000121390026066899/ea0294200-8k_nuvve.htm,False,
WAVS,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/form8-k.htm,True,
WAVS,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-1.htm,False,
WAVS,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-2.htm,False,
WAVS,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex99-1.htm,False,
WAVSU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/form8-k.htm,True,
WAVSU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-1.htm,False,
WAVSU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-2.htm,False,
WAVSU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex99-1.htm,False,
WAVSW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/form8-k.htm,True,
WAVSW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-1.htm,False,
WAVSW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-2.htm,False,
WAVSW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex99-1.htm,False,
CYCUW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/form8-k.htm,True,
CYCUW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-1.htm,False,
CYCUW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-2.htm,False,
CYCUW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex99-1.htm,False,
CYCU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/form8-k.htm,True,
CYCU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.1,EX-10.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-1.htm,False,
CYCU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-10.2,EX-10.2,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex10-2.htm,False,
CYCU,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/0001493152-26-027982-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1868419/000149315226027982/ex99-1.htm,False,
APLD,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027979/0001493152-26-027979-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027979/form8-k.htm,False,
APLD,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027979/0001493152-26-027979-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1144879/000149315226027979/ex99-1.htm,False,
RSVRW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1824403/000110465926071932/0001104659-26-071932-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1824403/000110465926071932/tm2617374d1_8k.htm,False,
RSVR,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1824403/000110465926071932/0001104659-26-071932-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1824403/000110465926071932/tm2617374d1_8k.htm,False,
BJDX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066896/0001213900-26-066896-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066896/ea0294209-8k_bluejay.htm,False,
BJDX,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1704287/000121390026066896/0001213900-26-066896-index.htm,EX-10.1,"BLUEJAY DIAGNOSTICS, INC. 2021 STOCK PLAN, AS AMENDED BY AMENDMENT NO. 1 THERETO",https://www.sec.gov/Archives/edgar/data/1704287/000121390026066896/ea029420901ex10-1.htm,False,
ABQQ,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1605331/000166357726000187/0001663577-26-000187-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1605331/000166357726000187/aera8k_060926.htm,False,
AERA,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1605331/000166357726000187/0001663577-26-000187-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1605331/000166357726000187/aera8k_060926.htm,False,
ECCW,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1604174/000110465926071926/0001104659-26-071926-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1604174/000110465926071926/tm2617333d1_8k.htm,False,
ECCF,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1604174/000110465926071926/0001104659-26-071926-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1604174/000110465926071926/tm2617333d1_8k.htm,False,
ECCY,2026-06-09 00:00:00,https://www.sec.gov/Archives/edgar/data/1604174/000110465926071926/0001104659-26-071926-index.htm,8-K,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1604174/000110465926071926/tm2617333d1_8k.htm,False,
