symbol,filingDate,filing_detail_url,document_type,document_description,document_url,matched,error
EDGE,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/0001140361-26-035809-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/ef20081442_8k.htm,True,
EDGE,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/0001140361-26-035809-index.htm,EX-10.1,EXHIBIT 10.1,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/ef20081442_ex10-1.htm,False,
PDSB,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/0001140361-26-035809-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/ef20081442_8k.htm,True,
PDSB,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/0001140361-26-035809-index.htm,EX-10.1,EXHIBIT 10.1,https://www.sec.gov/Archives/edgar/data/1472091/000114036126035809/ef20081442_ex10-1.htm,False,
RWODU,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea0304732-8k_greenland.htm,True,
RWODU,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,EX-10.1,"AMENDMENT TO MAY 20, 2026 AGREEMENT AND PLAN OF MERGER",https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea030473201ex10-1.htm,False,
RWODW,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea0304732-8k_greenland.htm,True,
RWODW,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,EX-10.1,"AMENDMENT TO MAY 20, 2026 AGREEMENT AND PLAN OF MERGER",https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea030473201ex10-1.htm,False,
RWOD,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea0304732-8k_greenland.htm,True,
RWOD,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,EX-10.1,"AMENDMENT TO MAY 20, 2026 AGREEMENT AND PLAN OF MERGER",https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea030473201ex10-1.htm,False,
RWODR,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,8-K,CURRENT REPORT,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea0304732-8k_greenland.htm,True,
RWODR,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/0001213900-26-097770-index.htm,EX-10.1,"AMENDMENT TO MAY 20, 2026 AGREEMENT AND PLAN OF MERGER",https://www.sec.gov/Archives/edgar/data/1907223/000121390026097770/ea030473201ex10-1.htm,False,
VIPZ,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/0001493152-26-041599-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/form8-k.htm,False,
VIPZ,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/0001493152-26-041599-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/ex99-1.htm,False,
KEYR,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/0001493152-26-041599-index.htm,8-K,8-K,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/form8-k.htm,False,
KEYR,2026-09-04 00:00:00,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/0001493152-26-041599-index.htm,EX-99.1,EX-99.1,https://www.sec.gov/Archives/edgar/data/1832161/000149315226041599/ex99-1.htm,False,
