symbol,cik,filingDate,acceptedDate,formType,hasFinancials,link,finalLink
AGRI,0001826397,2026-08-17 00:00:00,2026-08-17 17:29:06,8-K,False,https://www.sec.gov/Archives/edgar/data/1826397/000149315226038802/0001493152-26-038802-index.htm,https://www.sec.gov/Archives/edgar/data/1826397/000149315226038802/form8-k.htm
AVX,0001826397,2026-08-17 00:00:00,2026-08-17 17:29:06,8-K,False,https://www.sec.gov/Archives/edgar/data/1826397/000149315226038802/0001493152-26-038802-index.htm,https://www.sec.gov/Archives/edgar/data/1826397/000149315226038802/form8-k.htm
AGRIW,0001826397,2026-08-17 00:00:00,2026-08-17 17:29:06,8-K,False,https://www.sec.gov/Archives/edgar/data/1826397/000149315226038802/0001493152-26-038802-index.htm,https://www.sec.gov/Archives/edgar/data/1826397/000149315226038802/form8-k.htm
CHRS,0001512762,2026-08-17 00:00:00,2026-08-17 17:28:26,8-K,False,https://www.sec.gov/Archives/edgar/data/1512762/000110465926097951/0001104659-26-097951-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000110465926097951/chrs-20260817x8k.htm
CHRS,0001512762,2026-08-17 00:00:00,2026-08-17 17:27:41,8-K,False,https://www.sec.gov/Archives/edgar/data/1512762/000110465926097949/0001104659-26-097949-index.htm,https://www.sec.gov/Archives/edgar/data/1512762/000110465926097949/chrs-20260817x8k.htm
DYNR,0001111741,2026-08-17 00:00:00,2026-08-17 17:27:30,8-K,False,https://www.sec.gov/Archives/edgar/data/1111741/000119312526354308/0001193125-26-354308-index.htm,https://www.sec.gov/Archives/edgar/data/1111741/000119312526354308/dynr-20260811.htm
LNW,0000750004,2026-08-17 00:00:00,2026-08-17 17:27:24,8-K,False,https://www.sec.gov/Archives/edgar/data/750004/000110465926097948/0001104659-26-097948-index.htm,https://www.sec.gov/Archives/edgar/data/750004/000110465926097948/tm2623413d1_8k.htm
LNWO,0000750004,2026-08-17 00:00:00,2026-08-17 17:27:24,8-K,False,https://www.sec.gov/Archives/edgar/data/750004/000110465926097948/0001104659-26-097948-index.htm,https://www.sec.gov/Archives/edgar/data/750004/000110465926097948/tm2623413d1_8k.htm
SGMS,0000750004,2026-08-17 00:00:00,2026-08-17 17:27:24,8-K,False,https://www.sec.gov/Archives/edgar/data/750004/000110465926097948/0001104659-26-097948-index.htm,https://www.sec.gov/Archives/edgar/data/750004/000110465926097948/tm2623413d1_8k.htm
SKLZ,0001801661,2026-08-17 00:00:00,2026-08-17 17:21:07,8-K,False,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000095/0001801661-26-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000095/sklz-20260814.htm
FIRY,0001801661,2026-08-17 00:00:00,2026-08-17 17:21:07,8-K,False,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000095/0001801661-26-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1801661/000180166126000095/sklz-20260814.htm
NUAIW,0002028336,2026-08-17 00:00:00,2026-08-17 17:20:54,8-K,False,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/0001213900-26-090827-index.htm,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/ea0302467-8k_newera.htm
NUAI,0002028336,2026-08-17 00:00:00,2026-08-17 17:20:54,8-K,False,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/0001213900-26-090827-index.htm,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/ea0302467-8k_newera.htm
NEHC,0002028336,2026-08-17 00:00:00,2026-08-17 17:20:54,8-K,False,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/0001213900-26-090827-index.htm,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/ea0302467-8k_newera.htm
NEHCW,0002028336,2026-08-17 00:00:00,2026-08-17 17:20:54,8-K,False,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/0001213900-26-090827-index.htm,https://www.sec.gov/Archives/edgar/data/2028336/000121390026090827/ea0302467-8k_newera.htm
PBAM,0001705284,2026-08-17 00:00:00,2026-08-17 17:20:32,8-K,False,https://www.sec.gov/Archives/edgar/data/1705284/000119312526354298/0001193125-26-354298-index.htm,https://www.sec.gov/Archives/edgar/data/1705284/000119312526354298/pbam-20260817.htm
HLXC,0002099656,2026-08-17 00:00:00,2026-08-17 17:20:14,8-K,False,https://www.sec.gov/Archives/edgar/data/2099656/000121390026090826/0001213900-26-090826-index.htm,https://www.sec.gov/Archives/edgar/data/2099656/000121390026090826/ea0302451-8k_helix3.htm
None,0002145996,2026-08-17 00:00:00,2026-08-17 17:20:11,8-K,False,https://www.sec.gov/Archives/edgar/data/2145996/000153949726002284/0001539497-26-002284-index.htm,https://www.sec.gov/Archives/edgar/data/2145996/000153949726002284/n6027_x22-8k.htm
CVLG,0000928658,2026-08-17 00:00:00,2026-08-17 17:19:57,8-K,False,https://www.sec.gov/Archives/edgar/data/928658/000100888626000205/0001008886-26-000205-index.htm,https://www.sec.gov/Archives/edgar/data/928658/000100888626000205/form8k.htm
