symbol,filingDate,filing_detail_url,document_type
FLGC,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1790169/000106299326004559/0001062993-26-004559-index.htm,8-K
ZSTK,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1790169/000106299326004559/0001062993-26-004559-index.htm,8-K
DFPHW,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1799191/000107997326001169/0001079973-26-001169-index.htm,8-K
DFPHU,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1799191/000107997326001169/0001079973-26-001169-index.htm,8-K
TOIIW,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1799191/000107997326001169/0001079973-26-001169-index.htm,8-K
TOI,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1799191/000107997326001169/0001079973-26-001169-index.htm,8-K
JOB,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/40570/000147793226005233/0001477932-26-005233-index.htm,8-K
GWRS,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1434728/000162828026058486/0001628280-26-058486-index.htm,8-K
ESAC,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1865506/000121390026092692/0001213900-26-092692-index.htm,8-K
ESACW,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1865506/000121390026092692/0001213900-26-092692-index.htm,8-K
ESACU,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1865506/000121390026092692/0001213900-26-092692-index.htm,8-K
ZEO,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1865506/000121390026092692/0001213900-26-092692-index.htm,8-K
ZEOWW,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1865506/000121390026092692/0001213900-26-092692-index.htm,8-K
NXLIW,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1527352/000182912626009226/0001829126-26-009226-index.htm,8-K
NXL,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1527352/000182912626009226/0001829126-26-009226-index.htm,8-K
APUS,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1894525/000121390026092680/0001213900-26-092680-index.htm,8-K
FFIEW,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1805521/000121390026092678/0001213900-26-092678-index.htm,8-K
FFIE,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1805521/000121390026092678/0001213900-26-092678-index.htm,8-K
FFAI,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1805521/000121390026092678/0001213900-26-092678-index.htm,8-K
FFAIW,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1805521/000121390026092678/0001213900-26-092678-index.htm,8-K
PSAC,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1805521/000121390026092678/0001213900-26-092678-index.htm,8-K
PSACU,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1805521/000121390026092678/0001213900-26-092678-index.htm,8-K
EDGM,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1652958/000168316826006657/0001683168-26-006657-index.htm,8-K
FWAV,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1652958/000168316826006657/0001683168-26-006657-index.htm,8-K
GRIL,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1701756/000173112226001123/0001731122-26-001123-index.htm,8-K
HURA,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1498382/000119312526361272/0001193125-26-361272-index.htm,8-K
KTRA,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1498382/000119312526361272/0001193125-26-361272-index.htm,8-K
PSX,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1534701/000119312526361266/0001193125-26-361266-index.htm,8-K
OSTX,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/1795091/000121390026092651/0001213900-26-092651-index.htm,8-K
GTN,2026-08-21 00:00:00,https://www.sec.gov/Archives/edgar/data/43196/000143774926028749/0001437749-26-028749-index.htm,8-K
